,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,6803,-83,Thu Jul  2 16:00:02 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Thu Jul  2 16:00:02 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Thu Jul  2 16:00:02 2020
3,Andaman and Nicobar Islands,South Andaman,51,0,Thu Jul  2 16:00:02 2020
4,Andaman and Nicobar Islands,Unknown,57,0,Thu Jul  2 16:00:02 2020
5,Andhra Pradesh,Foreign Evacuees,407,4,Thu Jul  2 16:00:02 2020
6,Andhra Pradesh,Anantapur,1823,134,Thu Jul  2 16:00:02 2020
7,Andhra Pradesh,Chittoor,1136,47,Thu Jul  2 16:00:02 2020
8,Andhra Pradesh,East Godavari,1331,122,Thu Jul  2 16:00:02 2020
9,Andhra Pradesh,Guntur,1530,104,Thu Jul  2 16:00:02 2020
10,Andhra Pradesh,Krishna,1594,75,Thu Jul  2 16:00:02 2020
11,Andhra Pradesh,Kurnool,2120,75,Thu Jul  2 16:00:02 2020
12,Andhra Pradesh,Other State,2065,29,Thu Jul  2 16:00:02 2020
13,Andhra Pradesh,Prakasam,477,79,Thu Jul  2 16:00:02 2020
14,Andhra Pradesh,S.P.S. Nellore,643,2,Thu Jul  2 16:00:02 2020
15,Andhra Pradesh,Srikakulam,63,0,Thu Jul  2 16:00:02 2020
16,Andhra Pradesh,Visakhapatnam,570,7,Thu Jul  2 16:00:02 2020
17,Andhra Pradesh,Vizianagaram,174,13,Thu Jul  2 16:00:02 2020
18,Andhra Pradesh,West Godavari,1063,53,Thu Jul  2 16:00:02 2020
19,Andhra Pradesh,Y.S.R. Kadapa,1101,101,Thu Jul  2 16:00:02 2020
20,Arunachal Pradesh,Anjaw,0,0,Thu Jul  2 16:00:02 2020
21,Arunachal Pradesh,Changlang,81,0,Thu Jul  2 16:00:02 2020
22,Arunachal Pradesh,East Kameng,0,0,Thu Jul  2 16:00:02 2020
23,Arunachal Pradesh,East Siang,10,0,Thu Jul  2 16:00:02 2020
24,Arunachal Pradesh,Kamle,0,0,Thu Jul  2 16:00:02 2020
25,Arunachal Pradesh,Kra Daadi,0,0,Thu Jul  2 16:00:02 2020
26,Arunachal Pradesh,Kurung Kumey,0,0,Thu Jul  2 16:00:02 2020
27,Arunachal Pradesh,Lepa Rada,1,0,Thu Jul  2 16:00:02 2020
28,Arunachal Pradesh,Lohit,4,0,Thu Jul  2 16:00:02 2020
29,Arunachal Pradesh,Longding,4,0,Thu Jul  2 16:00:02 2020
30,Arunachal Pradesh,Lower Dibang Valley,3,0,Thu Jul  2 16:00:02 2020
31,Arunachal Pradesh,Lower Siang,3,0,Thu Jul  2 16:00:02 2020
32,Arunachal Pradesh,Lower Subansiri,0,0,Thu Jul  2 16:00:02 2020
33,Arunachal Pradesh,Namsai,12,0,Thu Jul  2 16:00:02 2020
34,Arunachal Pradesh,Pakke Kessang,1,0,Thu Jul  2 16:00:02 2020
35,Arunachal Pradesh,Papum Pare,49,0,Thu Jul  2 16:00:02 2020
36,Arunachal Pradesh,Shi Yomi,0,0,Thu Jul  2 16:00:02 2020
37,Arunachal Pradesh,Siang,0,0,Thu Jul  2 16:00:02 2020
38,Arunachal Pradesh,Tawang,2,0,Thu Jul  2 16:00:02 2020
39,Arunachal Pradesh,Tirap,3,0,Thu Jul  2 16:00:02 2020
40,Arunachal Pradesh,Upper Dibang Valley,0,0,Thu Jul  2 16:00:02 2020
41,Arunachal Pradesh,Upper Siang,1,0,Thu Jul  2 16:00:02 2020
42,Arunachal Pradesh,Upper Subansiri,0,0,Thu Jul  2 16:00:02 2020
43,Arunachal Pradesh,West Kameng,19,0,Thu Jul  2 16:00:02 2020
44,Arunachal Pradesh,West Siang,2,0,Thu Jul  2 16:00:02 2020
45,Assam,Airport Quarantine,4,0,Thu Jul  2 16:00:02 2020
46,Assam,Baksa,85,0,Thu Jul  2 16:00:02 2020
47,Assam,Barpeta,150,0,Thu Jul  2 16:00:02 2020
48,Assam,Biswanath,58,0,Thu Jul  2 16:00:02 2020
49,Assam,Bongaigaon,24,0,Thu Jul  2 16:00:02 2020
50,Assam,Cachar,98,0,Thu Jul  2 16:00:02 2020
51,Assam,Charaideo,16,0,Thu Jul  2 16:00:02 2020
52,Assam,Chirang,52,0,Thu Jul  2 16:00:02 2020
53,Assam,Darrang,102,0,Thu Jul  2 16:00:02 2020
54,Assam,Dhemaji,96,0,Thu Jul  2 16:00:02 2020
55,Assam,Dhubri,334,0,Thu Jul  2 16:00:02 2020
56,Assam,Dibrugarh,77,0,Thu Jul  2 16:00:02 2020
57,Assam,Dima Hasao,89,0,Thu Jul  2 16:00:02 2020
58,Assam,Goalpara,57,0,Thu Jul  2 16:00:02 2020
59,Assam,Golaghat,272,0,Thu Jul  2 16:00:02 2020
60,Assam,Hailakandi,78,0,Thu Jul  2 16:00:02 2020
61,Assam,Hojai,267,0,Thu Jul  2 16:00:02 2020
62,Assam,Jorhat,145,0,Thu Jul  2 16:00:02 2020
63,Assam,Kamrup,215,0,Thu Jul  2 16:00:02 2020
64,Assam,Kamrup Metropolitan,2047,0,Thu Jul  2 16:00:02 2020
65,Assam,Karbi Anglong,41,0,Thu Jul  2 16:00:02 2020
66,Assam,Karimganj,106,0,Thu Jul  2 16:00:02 2020
67,Assam,Kokrajhar,86,0,Thu Jul  2 16:00:02 2020
68,Assam,Lakhimpur,85,0,Thu Jul  2 16:00:02 2020
69,Assam,Majuli,21,0,Thu Jul  2 16:00:02 2020
70,Assam,Morigaon,49,0,Thu Jul  2 16:00:02 2020
71,Assam,Nagaon,330,0,Thu Jul  2 16:00:02 2020
72,Assam,Nalbari,28,0,Thu Jul  2 16:00:02 2020
73,Assam,Other State,1,0,Thu Jul  2 16:00:02 2020
74,Assam,Sivasagar,29,0,Thu Jul  2 16:00:02 2020
75,Assam,Sonitpur,122,0,Thu Jul  2 16:00:02 2020
76,Assam,South Salmara Mankachar,7,0,Thu Jul  2 16:00:02 2020
77,Assam,Tinsukia,114,0,Thu Jul  2 16:00:02 2020
78,Assam,Udalguri,105,0,Thu Jul  2 16:00:02 2020
79,Assam,West Karbi Anglong,28,0,Thu Jul  2 16:00:02 2020
80,Assam,Unknown,3538,0,Thu Jul  2 16:00:02 2020
81,Bihar,Araria,130,0,Thu Jul  2 16:00:02 2020
82,Bihar,Arwal,113,3,Thu Jul  2 16:00:02 2020
83,Bihar,Aurangabad,249,17,Thu Jul  2 16:00:02 2020
84,Bihar,Banka,238,0,Thu Jul  2 16:00:02 2020
85,Bihar,Begusarai,459,0,Thu Jul  2 16:00:02 2020
86,Bihar,Bhagalpur,515,7,Thu Jul  2 16:00:02 2020
87,Bihar,Bhojpur,234,1,Thu Jul  2 16:00:02 2020
88,Bihar,Buxar,227,0,Thu Jul  2 16:00:02 2020
89,Bihar,Darbhanga,311,0,Thu Jul  2 16:00:02 2020
90,Bihar,East Champaran,220,0,Thu Jul  2 16:00:02 2020
91,Bihar,Gaya,217,2,Thu Jul  2 16:00:02 2020
92,Bihar,Gopalganj,264,3,Thu Jul  2 16:00:02 2020
93,Bihar,Jamui,85,0,Thu Jul  2 16:00:02 2020
94,Bihar,Jehanabad,252,0,Thu Jul  2 16:00:02 2020
95,Bihar,Kaimur,187,1,Thu Jul  2 16:00:02 2020
96,Bihar,Katihar,348,0,Thu Jul  2 16:00:02 2020
97,Bihar,Khagaria,305,0,Thu Jul  2 16:00:02 2020
98,Bihar,Kishanganj,176,1,Thu Jul  2 16:00:02 2020
99,Bihar,Lakhisarai,130,0,Thu Jul  2 16:00:02 2020
100,Bihar,Madhepura,208,1,Thu Jul  2 16:00:02 2020
101,Bihar,Madhubani,479,7,Thu Jul  2 16:00:02 2020
102,Bihar,Munger,369,1,Thu Jul  2 16:00:02 2020
103,Bihar,Muzaffarpur,353,39,Thu Jul  2 16:00:02 2020
104,Bihar,Nalanda,250,7,Thu Jul  2 16:00:02 2020
105,Bihar,Nawada,325,13,Thu Jul  2 16:00:02 2020
106,Bihar,Patna,822,64,Thu Jul  2 16:00:02 2020
107,Bihar,Purnia,301,0,Thu Jul  2 16:00:02 2020
108,Bihar,Rohtas,350,4,Thu Jul  2 16:00:02 2020
109,Bihar,Saharsa,186,0,Thu Jul  2 16:00:02 2020
110,Bihar,Samastipur,365,0,Thu Jul  2 16:00:02 2020
111,Bihar,Saran,213,0,Thu Jul  2 16:00:02 2020
112,Bihar,Sheikhpura,159,3,Thu Jul  2 16:00:02 2020
113,Bihar,Sheohar,93,1,Thu Jul  2 16:00:02 2020
114,Bihar,Sitamarhi,144,0,Thu Jul  2 16:00:02 2020
115,Bihar,Siwan,438,0,Thu Jul  2 16:00:02 2020
116,Bihar,Supaul,267,2,Thu Jul  2 16:00:02 2020
