,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,7477,-773,Mon Jun  8 16:00:04 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Mon Jun  8 16:00:04 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Mon Jun  8 16:00:04 2020
3,Andaman and Nicobar Islands,South Andaman,32,0,Mon Jun  8 16:00:04 2020
4,Andhra Pradesh,Foreign Evacuees,132,1,Mon Jun  8 16:00:04 2020
5,Andhra Pradesh,Anantapur,288,0,Mon Jun  8 16:00:04 2020
6,Andhra Pradesh,Chittoor,299,0,Mon Jun  8 16:00:04 2020
7,Andhra Pradesh,East Godavari,275,0,Mon Jun  8 16:00:04 2020
8,Andhra Pradesh,Guntur,558,0,Mon Jun  8 16:00:04 2020
9,Andhra Pradesh,Krishna,551,0,Mon Jun  8 16:00:04 2020
10,Andhra Pradesh,Kurnool,772,0,Mon Jun  8 16:00:04 2020
11,Andhra Pradesh,Other State,838,28,Mon Jun  8 16:00:04 2020
12,Andhra Pradesh,Prakasam,85,0,Mon Jun  8 16:00:04 2020
13,Andhra Pradesh,S.P.S. Nellore,335,0,Mon Jun  8 16:00:04 2020
14,Andhra Pradesh,Srikakulam,32,0,Mon Jun  8 16:00:04 2020
15,Andhra Pradesh,Visakhapatnam,128,0,Mon Jun  8 16:00:04 2020
16,Andhra Pradesh,Vizianagaram,43,0,Mon Jun  8 16:00:04 2020
17,Andhra Pradesh,West Godavari,188,0,Mon Jun  8 16:00:04 2020
18,Andhra Pradesh,Y.S.R. Kadapa,164,0,Mon Jun  8 16:00:04 2020
19,Andhra Pradesh,Unknown,125,0,Mon Jun  8 16:00:04 2020
20,Arunachal Pradesh,Anjaw,0,0,Mon Jun  8 16:00:04 2020
21,Arunachal Pradesh,Changlang,35,0,Mon Jun  8 16:00:04 2020
22,Arunachal Pradesh,East Kameng,0,0,Mon Jun  8 16:00:04 2020
23,Arunachal Pradesh,East Siang,1,0,Mon Jun  8 16:00:04 2020
24,Arunachal Pradesh,Kamle,0,0,Mon Jun  8 16:00:04 2020
25,Arunachal Pradesh,Kra Daadi,0,0,Mon Jun  8 16:00:04 2020
26,Arunachal Pradesh,Kurung Kumey,0,0,Mon Jun  8 16:00:04 2020
27,Arunachal Pradesh,Lepa Rada,0,0,Mon Jun  8 16:00:04 2020
28,Arunachal Pradesh,Lohit,2,0,Mon Jun  8 16:00:04 2020
29,Arunachal Pradesh,Longding,0,0,Mon Jun  8 16:00:04 2020
30,Arunachal Pradesh,Lower Dibang Valley,0,0,Mon Jun  8 16:00:04 2020
31,Arunachal Pradesh,Lower Siang,0,0,Mon Jun  8 16:00:04 2020
32,Arunachal Pradesh,Lower Subansiri,0,0,Mon Jun  8 16:00:04 2020
33,Arunachal Pradesh,Namsai,2,0,Mon Jun  8 16:00:04 2020
34,Arunachal Pradesh,Pakke Kessang,1,0,Mon Jun  8 16:00:04 2020
35,Arunachal Pradesh,Papum Pare,7,0,Mon Jun  8 16:00:04 2020
36,Arunachal Pradesh,Shi Yomi,0,0,Mon Jun  8 16:00:04 2020
37,Arunachal Pradesh,Siang,0,0,Mon Jun  8 16:00:04 2020
38,Arunachal Pradesh,Tawang,1,0,Mon Jun  8 16:00:04 2020
39,Arunachal Pradesh,Tirap,0,0,Mon Jun  8 16:00:04 2020
40,Arunachal Pradesh,Upper Dibang Valley,0,0,Mon Jun  8 16:00:04 2020
41,Arunachal Pradesh,Upper Siang,1,0,Mon Jun  8 16:00:04 2020
42,Arunachal Pradesh,Upper Subansiri,0,0,Mon Jun  8 16:00:04 2020
43,Arunachal Pradesh,West Kameng,0,0,Mon Jun  8 16:00:04 2020
44,Arunachal Pradesh,West Siang,1,0,Mon Jun  8 16:00:04 2020
45,Assam,Baksa,16,0,Mon Jun  8 16:00:04 2020
46,Assam,Barpeta,85,5,Mon Jun  8 16:00:04 2020
47,Assam,Biswanath,44,0,Mon Jun  8 16:00:04 2020
48,Assam,Bongaigaon,13,0,Mon Jun  8 16:00:04 2020
49,Assam,Cachar,82,0,Mon Jun  8 16:00:04 2020
50,Assam,Charaideo,15,0,Mon Jun  8 16:00:04 2020
51,Assam,Chirang,33,0,Mon Jun  8 16:00:04 2020
52,Assam,Darrang,65,0,Mon Jun  8 16:00:04 2020
53,Assam,Dhemaji,50,0,Mon Jun  8 16:00:04 2020
54,Assam,Dhubri,306,0,Mon Jun  8 16:00:04 2020
55,Assam,Dibrugarh,50,0,Mon Jun  8 16:00:04 2020
56,Assam,Dima Hasao,88,0,Mon Jun  8 16:00:04 2020
57,Assam,Goalpara,48,0,Mon Jun  8 16:00:04 2020
58,Assam,Golaghat,220,0,Mon Jun  8 16:00:04 2020
59,Assam,Hailakandi,49,0,Mon Jun  8 16:00:04 2020
60,Assam,Hojai,237,0,Mon Jun  8 16:00:04 2020
61,Assam,Jorhat,27,0,Mon Jun  8 16:00:04 2020
62,Assam,Kamrup,120,0,Mon Jun  8 16:00:04 2020
63,Assam,Kamrup Metropolitan,404,0,Mon Jun  8 16:00:04 2020
64,Assam,Karbi Anglong,11,0,Mon Jun  8 16:00:04 2020
65,Assam,Karimganj,77,0,Mon Jun  8 16:00:04 2020
66,Assam,Kokrajhar,57,0,Mon Jun  8 16:00:04 2020
67,Assam,Lakhimpur,61,0,Mon Jun  8 16:00:04 2020
68,Assam,Majuli,6,0,Mon Jun  8 16:00:04 2020
69,Assam,Morigaon,49,0,Mon Jun  8 16:00:04 2020
70,Assam,Nagaon,114,7,Mon Jun  8 16:00:04 2020
71,Assam,Nalbari,25,0,Mon Jun  8 16:00:04 2020
72,Assam,Other State,1,0,Mon Jun  8 16:00:04 2020
73,Assam,Sivasagar,27,0,Mon Jun  8 16:00:04 2020
74,Assam,Sonitpur,34,0,Mon Jun  8 16:00:04 2020
75,Assam,South Salmara Mankachar,6,0,Mon Jun  8 16:00:04 2020
76,Assam,Tinsukia,68,0,Mon Jun  8 16:00:04 2020
77,Assam,Udalguri,65,0,Mon Jun  8 16:00:04 2020
78,Assam,West Karbi Anglong,17,0,Mon Jun  8 16:00:04 2020
79,Assam,Unknown,124,0,Mon Jun  8 16:00:04 2020
80,Bihar,Araria,78,5,Mon Jun  8 16:00:04 2020
81,Bihar,Arwal,58,4,Mon Jun  8 16:00:04 2020
82,Bihar,Aurangabad,85,0,Mon Jun  8 16:00:04 2020
83,Bihar,Banka,132,0,Mon Jun  8 16:00:04 2020
84,Bihar,Begusarai,262,0,Mon Jun  8 16:00:04 2020
85,Bihar,Bhagalpur,245,0,Mon Jun  8 16:00:04 2020
86,Bihar,Bhojpur,112,1,Mon Jun  8 16:00:04 2020
87,Bihar,Buxar,140,10,Mon Jun  8 16:00:04 2020
88,Bihar,Darbhanga,130,0,Mon Jun  8 16:00:04 2020
89,Bihar,East Champaran,130,0,Mon Jun  8 16:00:04 2020
90,Bihar,Gaya,123,6,Mon Jun  8 16:00:04 2020
91,Bihar,Gopalganj,136,2,Mon Jun  8 16:00:04 2020
92,Bihar,Jamui,46,0,Mon Jun  8 16:00:04 2020
93,Bihar,Jehanabad,178,0,Mon Jun  8 16:00:04 2020
94,Bihar,Kaimur,102,0,Mon Jun  8 16:00:04 2020
95,Bihar,Katihar,174,5,Mon Jun  8 16:00:04 2020
96,Bihar,Khagaria,279,0,Mon Jun  8 16:00:04 2020
97,Bihar,Kishanganj,104,3,Mon Jun  8 16:00:04 2020
98,Bihar,Lakhisarai,67,0,Mon Jun  8 16:00:04 2020
99,Bihar,Madhepura,99,2,Mon Jun  8 16:00:04 2020
100,Bihar,Madhubani,237,19,Mon Jun  8 16:00:04 2020
101,Bihar,Munger,208,11,Mon Jun  8 16:00:04 2020
102,Bihar,Muzaffarpur,112,4,Mon Jun  8 16:00:04 2020
103,Bihar,Nalanda,124,0,Mon Jun  8 16:00:04 2020
104,Bihar,Nawada,139,0,Mon Jun  8 16:00:04 2020
105,Bihar,Patna,280,1,Mon Jun  8 16:00:04 2020
106,Bihar,Purnia,140,0,Mon Jun  8 16:00:04 2020
107,Bihar,Rohtas,238,4,Mon Jun  8 16:00:04 2020
108,Bihar,Saharsa,88,3,Mon Jun  8 16:00:04 2020
109,Bihar,Samastipur,133,3,Mon Jun  8 16:00:04 2020
110,Bihar,Saran,103,0,Mon Jun  8 16:00:04 2020
111,Bihar,Sheikhpura,113,2,Mon Jun  8 16:00:04 2020
112,Bihar,Sheohar,24,0,Mon Jun  8 16:00:04 2020
113,Bihar,Sitamarhi,78,0,Mon Jun  8 16:00:04 2020
114,Bihar,Siwan,140,11,Mon Jun  8 16:00:04 2020
115,Bihar,Supaul,157,3,Mon Jun  8 16:00:04 2020
116,Bihar,Vaishali,93,1,Mon Jun  8 16:00:04 2020
117,Bihar,West Champaran,88,5,Mon Jun  8 16:00:04 2020
118,Chandigarh,Chandigarh,318,4,Mon Jun  8 16:00:04 2020
119,Chhattisgarh,Balod,41,0,Mon Jun  8 16:00:04 2020
120,Chhattisgarh,Baloda Bazar,102,0,Mon Jun  8 16:00:04 2020
121,Chhattisgarh,Balrampur,22,0,Mon Jun  8 16:00:04 2020
122,Chhattisgarh,Bametara,21,0,Mon Jun  8 16:00:04 2020
123,Chhattisgarh,Bastar,3,0,Mon Jun  8 16:00:04 2020
124,Chhattisgarh,Bijapur,0,0,Mon Jun  8 16:00:04 2020
125,Chhattisgarh,Bilaspur,99,0,Mon Jun  8 16:00:04 2020
126,Chhattisgarh,Dakshin Bastar Dantewada,0,0,Mon Jun  8 16:00:04 2020
127,Chhattisgarh,Dhamtari,6,0,Mon Jun  8 16:00:04 2020
128,Chhattisgarh,Durg,41,0,Mon Jun  8 16:00:04 2020
129,Chhattisgarh,Gariaband,10,0,Mon Jun  8 16:00:04 2020
130,Chhattisgarh,Janjgir Champa,57,0,Mon Jun  8 16:00:04 2020
131,Chhattisgarh,Jashpur,78,0,Mon Jun  8 16:00:04 2020
132,Chhattisgarh,Kabeerdham,75,0,Mon Jun  8 16:00:04 2020
133,Chhattisgarh,Kondagaon,0,0,Mon Jun  8 16:00:04 2020
134,Chhattisgarh,Korba,108,0,Mon Jun  8 16:00:04 2020
135,Chhattisgarh,Koriya,38,0,Mon Jun  8 16:00:04 2020
136,Chhattisgarh,Mahasamund,57,0,Mon Jun  8 16:00:04 2020
137,Chhattisgarh,Mungeli,86,0,Mon Jun  8 16:00:04 2020
138,Chhattisgarh,Narayanpur,0,0,Mon Jun  8 16:00:04 2020
139,Chhattisgarh,Raigarh,46,0,Mon Jun  8 16:00:04 2020
140,Chhattisgarh,Raipur,82,0,Mon Jun  8 16:00:04 2020
141,Chhattisgarh,Rajnandgaon,52,0,Mon Jun  8 16:00:04 2020
142,Chhattisgarh,Sukma,0,0,Mon Jun  8 16:00:04 2020
143,Chhattisgarh,Surajpur,11,0,Mon Jun  8 16:00:04 2020
144,Chhattisgarh,Surguja,14,0,Mon Jun  8 16:00:04 2020
145,Chhattisgarh,Uttar Bastar Kanker,21,0,Mon Jun  8 16:00:04 2020
146,Chhattisgarh,Gaurela Pendra Marwahi,3,0,Mon Jun  8 16:00:04 2020
147,Delhi,Central Delhi,184,0,Mon Jun  8 16:00:04 2020
148,Delhi,East Delhi,38,0,Mon Jun  8 16:00:04 2020
149,Delhi,New Delhi,37,0,Mon Jun  8 16:00:04 2020
150,Delhi,North Delhi,60,0,Mon Jun  8 16:00:04 2020
151,Delhi,North East Delhi,25,0,Mon Jun  8 16:00:04 2020
152,Delhi,North West Delhi,32,0,Mon Jun  8 16:00:04 2020
153,Delhi,Shahdara,48,0,Mon Jun  8 16:00:04 2020
154,Delhi,South Delhi,70,0,Mon Jun  8 16:00:04 2020
155,Delhi,South East Delhi,130,0,Mon Jun  8 16:00:04 2020
156,Delhi,South West Delhi,42,0,Mon Jun  8 16:00:04 2020
157,Delhi,West Delhi,122,0,Mon Jun  8 16:00:04 2020
158,Delhi,Unknown,28148,0,Mon Jun  8 16:00:04 2020
159,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,20,0,Mon Jun  8 16:00:04 2020
160,Dadra and Nagar Haveli and Daman and Diu,Daman,0,0,Mon Jun  8 16:00:04 2020
161,Dadra and Nagar Haveli and Daman and Diu,Diu,0,0,Mon Jun  8 16:00:04 2020
162,Goa,North Goa,6,0,Mon Jun  8 16:00:04 2020
163,Goa,South Goa,279,0,Mon Jun  8 16:00:04 2020
164,Goa,Unknown,15,0,Mon Jun  8 16:00:04 2020
165,Gujarat,Other State,27,0,Mon Jun  8 16:00:04 2020
166,Gujarat,Ahmedabad,14285,0,Mon Jun  8 16:00:04 2020
167,Gujarat,Amreli,15,0,Mon Jun  8 16:00:04 2020
168,Gujarat,Anand,111,0,Mon Jun  8 16:00:04 2020
169,Gujarat,Aravalli,121,0,Mon Jun  8 16:00:04 2020
170,Gujarat,Banaskantha,142,0,Mon Jun  8 16:00:04 2020
171,Gujarat,Bharuch,56,0,Mon Jun  8 16:00:04 2020
172,Gujarat,Bhavnagar,140,0,Mon Jun  8 16:00:04 2020
173,Gujarat,Botad,60,0,Mon Jun  8 16:00:04 2020
174,Gujarat,Chhota Udaipur,37,0,Mon Jun  8 16:00:04 2020
175,Gujarat,Dahod,46,0,Mon Jun  8 16:00:04 2020
176,Gujarat,Dang,4,0,Mon Jun  8 16:00:04 2020
177,Gujarat,Devbhumi Dwarka,15,0,Mon Jun  8 16:00:04 2020
178,Gujarat,Gandhinagar,420,0,Mon Jun  8 16:00:04 2020
179,Gujarat,Gir Somnath,47,0,Mon Jun  8 16:00:04 2020
180,Gujarat,Jamnagar,61,0,Mon Jun  8 16:00:04 2020
181,Gujarat,Junagadh,32,0,Mon Jun  8 16:00:04 2020
182,Gujarat,Kheda,100,0,Mon Jun  8 16:00:04 2020
183,Gujarat,Kutch,78,0,Mon Jun  8 16:00:04 2020
184,Gujarat,Mahisagar,116,0,Mon Jun  8 16:00:04 2020
185,Gujarat,Mehsana,159,0,Mon Jun  8 16:00:04 2020
186,Gujarat,Morbi,4,0,Mon Jun  8 16:00:04 2020
187,Gujarat,Narmada,23,0,Mon Jun  8 16:00:04 2020
188,Gujarat,Navsari,32,0,Mon Jun  8 16:00:04 2020
189,Gujarat,Panchmahal,101,0,Mon Jun  8 16:00:04 2020
190,Gujarat,Patan,103,0,Mon Jun  8 16:00:04 2020
191,Gujarat,Porbandar,12,0,Mon Jun  8 16:00:04 2020
192,Gujarat,Rajkot,131,0,Mon Jun  8 16:00:04 2020
193,Gujarat,Sabarkantha,117,0,Mon Jun  8 16:00:04 2020
194,Gujarat,Surat,2098,0,Mon Jun  8 16:00:04 2020
195,Gujarat,Surendranagar,50,0,Mon Jun  8 16:00:04 2020
196,Gujarat,Tapi,6,0,Mon Jun  8 16:00:04 2020
197,Gujarat,Vadodara,1293,0,Mon Jun  8 16:00:04 2020
198,Gujarat,Valsad,55,0,Mon Jun  8 16:00:04 2020
199,Himachal Pradesh,Bilaspur,22,0,Mon Jun  8 16:00:04 2020
200,Himachal Pradesh,Chamba,32,0,Mon Jun  8 16:00:04 2020
201,Himachal Pradesh,Hamirpur,123,0,Mon Jun  8 16:00:04 2020
202,Himachal Pradesh,Kangra,109,0,Mon Jun  8 16:00:04 2020
203,Himachal Pradesh,Kinnaur,2,0,Mon Jun  8 16:00:04 2020
204,Himachal Pradesh,Kullu,4,0,Mon Jun  8 16:00:04 2020
205,Himachal Pradesh,Lahaul and Spiti,0,0,Mon Jun  8 16:00:04 2020
206,Himachal Pradesh,Mandi,21,0,Mon Jun  8 16:00:04 2020
207,Himachal Pradesh,Shimla,13,0,Mon Jun  8 16:00:04 2020
208,Himachal Pradesh,Sirmaur,11,0,Mon Jun  8 16:00:04 2020
209,Himachal Pradesh,Solan,34,2,Mon Jun  8 16:00:04 2020
210,Himachal Pradesh,Una,42,0,Mon Jun  8 16:00:04 2020
211,Haryana,Foreign Evacuees,21,0,Mon Jun  8 16:00:04 2020
212,Haryana,Ambala,88,1,Mon Jun  8 16:00:04 2020
213,Haryana,Bhiwani,72,0,Mon Jun  8 16:00:04 2020
214,Haryana,Charkhi Dadri,35,0,Mon Jun  8 16:00:04 2020
215,Haryana,Faridabad,714,38,Mon Jun  8 16:00:04 2020
216,Haryana,Fatehabad,43,0,Mon Jun  8 16:00:04 2020
217,Haryana,Gurugram,2011,89,Mon Jun  8 16:00:04 2020
218,Haryana,Hisar,88,2,Mon Jun  8 16:00:04 2020
219,Haryana,Italians,14,0,Mon Jun  8 16:00:04 2020
