,states,district,confirmed,delta,date
407,Uttar Pradesh,Rae Bareli,35,0,Wed Apr 22 17:52:38 2020
408,Uttar Pradesh,Rampur,16,0,Wed Apr 22 17:52:38 2020
409,Uttar Pradesh,Saharanpur,72,0,Wed Apr 22 17:52:38 2020
410,Uttar Pradesh,Sambhal,7,0,Wed Apr 22 17:52:38 2020
411,Uttar Pradesh,Sant Kabir Nagar,1,0,Wed Apr 22 17:52:38 2020
412,Uttar Pradesh,Shahjahanpur,1,0,Wed Apr 22 17:52:38 2020
413,Uttar Pradesh,Shamli,26,0,Wed Apr 22 17:52:38 2020
414,Uttar Pradesh,Sitapur,17,0,Wed Apr 22 17:52:38 2020
415,Uttar Pradesh,Sultanpur,1,0,Wed Apr 22 17:52:38 2020
416,Uttar Pradesh,Unnao,1,0,Wed Apr 22 17:52:38 2020
417,Uttar Pradesh,Varanasi,16,0,Wed Apr 22 17:52:38 2020
418,Uttar Pradesh,Unknown,1,0,Wed Apr 22 17:52:38 2020
419,Uttarakhand,Almora,1,0,Wed Apr 22 17:52:38 2020
420,Uttarakhand,Dehradun,24,0,Wed Apr 22 17:52:38 2020
421,Uttarakhand,Haridwar,7,0,Wed Apr 22 17:52:38 2020
422,Uttarakhand,Nainital,9,0,Wed Apr 22 17:52:38 2020
423,Uttarakhand,Pauri Garhwal,1,0,Wed Apr 22 17:52:38 2020
424,Uttarakhand,Udham Singh Nagar,4,0,Wed Apr 22 17:52:38 2020
425,West Bengal,Hooghly,1,0,Wed Apr 22 17:52:38 2020
426,West Bengal,Howrah,1,0,Wed Apr 22 17:52:38 2020
427,West Bengal,Kalimpong,1,0,Wed Apr 22 17:52:38 2020
428,West Bengal,Kolkata,11,0,Wed Apr 22 17:52:38 2020
429,West Bengal,Medinipur East,3,0,Wed Apr 22 17:52:38 2020
430,West Bengal,Nadia,5,0,Wed Apr 22 17:52:38 2020
431,West Bengal,North 24 Parganas,4,0,Wed Apr 22 17:52:38 2020
432,West Bengal,South 24 Parganas,1,0,Wed Apr 22 17:52:38 2020
433,West Bengal,Unknown,396,31,Wed Apr 22 17:52:38 2020
