,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,8443,966,Tue Jun  9 15:00:03 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Tue Jun  9 15:00:03 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Tue Jun  9 15:00:03 2020
3,Andaman and Nicobar Islands,South Andaman,32,0,Tue Jun  9 15:00:03 2020
4,Andhra Pradesh,Foreign Evacuees,132,0,Tue Jun  9 15:00:03 2020
5,Andhra Pradesh,Anantapur,306,0,Tue Jun  9 15:00:03 2020
6,Andhra Pradesh,Chittoor,303,0,Tue Jun  9 15:00:03 2020
7,Andhra Pradesh,East Godavari,281,0,Tue Jun  9 15:00:03 2020
8,Andhra Pradesh,Guntur,566,0,Tue Jun  9 15:00:03 2020
9,Andhra Pradesh,Krishna,570,0,Tue Jun  9 15:00:03 2020
10,Andhra Pradesh,Kurnool,776,0,Tue Jun  9 15:00:03 2020
11,Andhra Pradesh,Other State,838,0,Tue Jun  9 15:00:03 2020
12,Andhra Pradesh,Prakasam,86,0,Tue Jun  9 15:00:03 2020
13,Andhra Pradesh,S.P.S. Nellore,352,0,Tue Jun  9 15:00:03 2020
14,Andhra Pradesh,Srikakulam,33,0,Tue Jun  9 15:00:03 2020
15,Andhra Pradesh,Visakhapatnam,143,0,Tue Jun  9 15:00:03 2020
16,Andhra Pradesh,Vizianagaram,45,0,Tue Jun  9 15:00:03 2020
17,Andhra Pradesh,West Godavari,209,0,Tue Jun  9 15:00:03 2020
18,Andhra Pradesh,Y.S.R. Kadapa,173,0,Tue Jun  9 15:00:03 2020
19,Andhra Pradesh,Unknown,0,0,Tue Jun  9 15:00:03 2020
20,Arunachal Pradesh,Anjaw,0,0,Tue Jun  9 15:00:03 2020
21,Arunachal Pradesh,Changlang,38,0,Tue Jun  9 15:00:03 2020
22,Arunachal Pradesh,East Kameng,0,0,Tue Jun  9 15:00:03 2020
23,Arunachal Pradesh,East Siang,2,0,Tue Jun  9 15:00:03 2020
24,Arunachal Pradesh,Kamle,0,0,Tue Jun  9 15:00:03 2020
25,Arunachal Pradesh,Kra Daadi,0,0,Tue Jun  9 15:00:03 2020
26,Arunachal Pradesh,Kurung Kumey,0,0,Tue Jun  9 15:00:03 2020
27,Arunachal Pradesh,Lepa Rada,0,0,Tue Jun  9 15:00:03 2020
28,Arunachal Pradesh,Lohit,2,0,Tue Jun  9 15:00:03 2020
29,Arunachal Pradesh,Longding,0,0,Tue Jun  9 15:00:03 2020
30,Arunachal Pradesh,Lower Dibang Valley,1,0,Tue Jun  9 15:00:03 2020
31,Arunachal Pradesh,Lower Siang,0,0,Tue Jun  9 15:00:03 2020
32,Arunachal Pradesh,Lower Subansiri,0,0,Tue Jun  9 15:00:03 2020
33,Arunachal Pradesh,Namsai,2,0,Tue Jun  9 15:00:03 2020
34,Arunachal Pradesh,Pakke Kessang,1,0,Tue Jun  9 15:00:03 2020
35,Arunachal Pradesh,Papum Pare,7,0,Tue Jun  9 15:00:03 2020
36,Arunachal Pradesh,Shi Yomi,0,0,Tue Jun  9 15:00:03 2020
37,Arunachal Pradesh,Siang,0,0,Tue Jun  9 15:00:03 2020
38,Arunachal Pradesh,Tawang,1,0,Tue Jun  9 15:00:03 2020
39,Arunachal Pradesh,Tirap,1,0,Tue Jun  9 15:00:03 2020
40,Arunachal Pradesh,Upper Dibang Valley,0,0,Tue Jun  9 15:00:03 2020
41,Arunachal Pradesh,Upper Siang,1,0,Tue Jun  9 15:00:03 2020
42,Arunachal Pradesh,Upper Subansiri,0,0,Tue Jun  9 15:00:03 2020
43,Arunachal Pradesh,West Kameng,0,0,Tue Jun  9 15:00:03 2020
44,Arunachal Pradesh,West Siang,1,0,Tue Jun  9 15:00:03 2020
45,Assam,Baksa,17,1,Tue Jun  9 15:00:03 2020
46,Assam,Barpeta,93,3,Tue Jun  9 15:00:03 2020
47,Assam,Biswanath,52,0,Tue Jun  9 15:00:03 2020
48,Assam,Bongaigaon,14,0,Tue Jun  9 15:00:03 2020
49,Assam,Cachar,89,0,Tue Jun  9 15:00:03 2020
50,Assam,Charaideo,15,0,Tue Jun  9 15:00:03 2020
51,Assam,Chirang,37,2,Tue Jun  9 15:00:03 2020
52,Assam,Darrang,88,0,Tue Jun  9 15:00:03 2020
53,Assam,Dhemaji,65,0,Tue Jun  9 15:00:03 2020
54,Assam,Dhubri,306,0,Tue Jun  9 15:00:03 2020
55,Assam,Dibrugarh,52,0,Tue Jun  9 15:00:03 2020
56,Assam,Dima Hasao,88,0,Tue Jun  9 15:00:03 2020
57,Assam,Goalpara,48,0,Tue Jun  9 15:00:03 2020
58,Assam,Golaghat,221,1,Tue Jun  9 15:00:03 2020
59,Assam,Hailakandi,49,0,Tue Jun  9 15:00:03 2020
60,Assam,Hojai,237,0,Tue Jun  9 15:00:03 2020
61,Assam,Jorhat,31,4,Tue Jun  9 15:00:03 2020
62,Assam,Kamrup,146,0,Tue Jun  9 15:00:03 2020
63,Assam,Kamrup Metropolitan,406,0,Tue Jun  9 15:00:03 2020
64,Assam,Karbi Anglong,14,2,Tue Jun  9 15:00:03 2020
65,Assam,Karimganj,77,0,Tue Jun  9 15:00:03 2020
66,Assam,Kokrajhar,57,0,Tue Jun  9 15:00:03 2020
67,Assam,Lakhimpur,67,0,Tue Jun  9 15:00:03 2020
68,Assam,Majuli,7,1,Tue Jun  9 15:00:03 2020
69,Assam,Morigaon,49,0,Tue Jun  9 15:00:03 2020
70,Assam,Nagaon,154,2,Tue Jun  9 15:00:03 2020
71,Assam,Nalbari,25,0,Tue Jun  9 15:00:03 2020
72,Assam,Other State,1,0,Tue Jun  9 15:00:03 2020
73,Assam,Sivasagar,27,0,Tue Jun  9 15:00:03 2020
74,Assam,Sonitpur,40,0,Tue Jun  9 15:00:03 2020
75,Assam,South Salmara Mankachar,6,0,Tue Jun  9 15:00:03 2020
76,Assam,Tinsukia,85,17,Tue Jun  9 15:00:03 2020
77,Assam,Udalguri,65,0,Tue Jun  9 15:00:03 2020
78,Assam,West Karbi Anglong,17,0,Tue Jun  9 15:00:03 2020
79,Assam,Unknown,124,0,Tue Jun  9 15:00:03 2020
