,state,district,confirmed,delta,date
0,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Sun Apr 26 22:34:51 2020
1,Andaman and Nicobar Islands,South Andaman,32,0,Sun Apr 26 22:34:51 2020
2,Andhra Pradesh,Anantapur,53,2,Sun Apr 26 22:34:51 2020
3,Andhra Pradesh,Chittoor,73,0,Sun Apr 26 22:34:51 2020
4,Andhra Pradesh,East Godavari,39,2,Sun Apr 26 22:34:51 2020
5,Andhra Pradesh,Guntur,214,5,Sun Apr 26 22:34:51 2020
6,Andhra Pradesh,Krishna,177,50,Sun Apr 26 22:34:51 2020
7,Andhra Pradesh,Kurnool,279,4,Sun Apr 26 22:34:51 2020
8,Andhra Pradesh,Prakasam,56,3,Sun Apr 26 22:34:51 2020
9,Andhra Pradesh,S.P.S. Nellore,72,0,Sun Apr 26 22:34:51 2020
10,Andhra Pradesh,Srikakulam,3,0,Sun Apr 26 22:34:51 2020
11,Andhra Pradesh,Visakhapatnam,22,0,Sun Apr 26 22:34:51 2020
12,Andhra Pradesh,West Godavari,51,12,Sun Apr 26 22:34:51 2020
13,Andhra Pradesh,Y.S.R.,58,3,Sun Apr 26 22:34:51 2020
14,Arunachal Pradesh,Lohit,1,0,Sun Apr 26 22:34:51 2020
15,Assam,Cachar,2,0,Sun Apr 26 22:34:51 2020
16,Assam,Dhubri,4,0,Sun Apr 26 22:34:51 2020
17,Assam,Goalpara,4,0,Sun Apr 26 22:34:51 2020
18,Assam,Golaghat,1,0,Sun Apr 26 22:34:51 2020
19,Assam,Hailakandi,1,0,Sun Apr 26 22:34:51 2020
20,Assam,Jorhat,8,0,Sun Apr 26 22:34:51 2020
21,Assam,Kamrup,1,0,Sun Apr 26 22:34:51 2020
22,Assam,Kamrup Metropolitan,6,0,Sun Apr 26 22:34:51 2020
23,Assam,Lakhimpur,1,0,Sun Apr 26 22:34:51 2020
24,Assam,Morigaon,3,0,Sun Apr 26 22:34:51 2020
25,Assam,Nalbari,3,0,Sun Apr 26 22:34:51 2020
26,Assam,South Salmara Mancachar,1,0,Sun Apr 26 22:34:51 2020
27,Assam,Unknown,1,0,Sun Apr 26 22:34:51 2020
28,Bihar,Arwal,4,3,Sun Apr 26 22:34:51 2020
29,Bihar,Aurangabad,2,0,Sun Apr 26 22:34:51 2020
30,Bihar,Banka,2,0,Sun Apr 26 22:34:51 2020
31,Bihar,Begusarai,9,0,Sun Apr 26 22:34:51 2020
32,Bihar,Bhagalpur,5,0,Sun Apr 26 22:34:51 2020
33,Bihar,Bhojpur,2,0,Sun Apr 26 22:34:51 2020
34,Bihar,Buxar,25,0,Sun Apr 26 22:34:51 2020
35,Bihar,East Champaran,5,4,Sun Apr 26 22:34:51 2020
36,Bihar,Gaya,6,0,Sun Apr 26 22:34:51 2020
37,Bihar,Gopalganj,12,9,Sun Apr 26 22:34:51 2020
38,Bihar,Jehanabad,1,1,Sun Apr 26 22:34:51 2020
39,Bihar,Kaimur Bhabua,14,0,Sun Apr 26 22:34:51 2020
40,Bihar,Lakhisarai,1,0,Sun Apr 26 22:34:51 2020
41,Bihar,Madhepura,1,0,Sun Apr 26 22:34:51 2020
42,Bihar,Munger,65,0,Sun Apr 26 22:34:51 2020
43,Bihar,Nalanda,34,0,Sun Apr 26 22:34:51 2020
44,Bihar,Nawada,3,0,Sun Apr 26 22:34:51 2020
45,Bihar,Patna,33,0,Sun Apr 26 22:34:51 2020
46,Bihar,Rohtas,15,6,Sun Apr 26 22:34:51 2020
47,Bihar,Saran,3,0,Sun Apr 26 22:34:51 2020
48,Bihar,Siwan,30,0,Sun Apr 26 22:34:51 2020
49,Bihar,Vaishali,2,0,Sun Apr 26 22:34:51 2020
50,Chandigarh,Chandigarh,36,8,Sun Apr 26 22:34:51 2020
51,Chhattisgarh,Bilaspur,1,0,Sun Apr 26 22:34:51 2020
52,Chhattisgarh,Durg,1,0,Sun Apr 26 22:34:51 2020
53,Chhattisgarh,Korba,28,0,Sun Apr 26 22:34:51 2020
54,Chhattisgarh,Raipur,6,0,Sun Apr 26 22:34:51 2020
55,Chhattisgarh,Rajnandgaon,1,0,Sun Apr 26 22:34:51 2020
56,Delhi,Central Delhi,184,0,Sun Apr 26 22:34:51 2020
57,Delhi,East Delhi,38,0,Sun Apr 26 22:34:51 2020
58,Delhi,New Delhi,37,0,Sun Apr 26 22:34:51 2020
59,Delhi,North Delhi,60,0,Sun Apr 26 22:34:51 2020
60,Delhi,North East Delhi,25,0,Sun Apr 26 22:34:51 2020
61,Delhi,North West Delhi,32,0,Sun Apr 26 22:34:51 2020
62,Delhi,Shahdara,48,0,Sun Apr 26 22:34:51 2020
63,Delhi,South Delhi,70,0,Sun Apr 26 22:34:51 2020
64,Delhi,South East Delhi,130,0,Sun Apr 26 22:34:51 2020
65,Delhi,South West Delhi,42,0,Sun Apr 26 22:34:51 2020
66,Delhi,West Delhi,122,0,Sun Apr 26 22:34:51 2020
67,Delhi,Unknown,2130,293,Sun Apr 26 22:34:51 2020
68,Goa,North Goa,6,0,Sun Apr 26 22:34:51 2020
69,Goa,South Goa,1,0,Sun Apr 26 22:34:51 2020
70,Gujarat,Ahmadabad,2181,178,Sun Apr 26 22:34:51 2020
71,Gujarat,Anand,49,8,Sun Apr 26 22:34:51 2020
72,Gujarat,Aravalli,18,0,Sun Apr 26 22:34:51 2020
73,Gujarat,Banas Kantha,28,1,Sun Apr 26 22:34:51 2020
74,Gujarat,Bharuch,29,0,Sun Apr 26 22:34:51 2020
75,Gujarat,Bhavnagar,40,0,Sun Apr 26 22:34:51 2020
76,Gujarat,Botad,12,0,Sun Apr 26 22:34:51 2020
77,Gujarat,Chota Udaipur,13,0,Sun Apr 26 22:34:51 2020
78,Gujarat,Dahod,4,0,Sun Apr 26 22:34:51 2020
79,Gujarat,Gandhinagar,25,2,Sun Apr 26 22:34:51 2020
80,Gujarat,Gir Somnath,3,0,Sun Apr 26 22:34:51 2020
81,Gujarat,Jamnagar,1,0,Sun Apr 26 22:34:51 2020
82,Gujarat,Kachchh,6,0,Sun Apr 26 22:34:51 2020
83,Gujarat,Kheda,6,1,Sun Apr 26 22:34:51 2020
84,Gujarat,Mahesana,7,0,Sun Apr 26 22:34:51 2020
85,Gujarat,Mahisagar,10,0,Sun Apr 26 22:34:51 2020
86,Gujarat,Morbi,1,0,Sun Apr 26 22:34:51 2020
87,Gujarat,Narmada,12,0,Sun Apr 26 22:34:51 2020
88,Gujarat,Navsari,3,1,Sun Apr 26 22:34:51 2020
89,Gujarat,Panch Mahals,17,0,Sun Apr 26 22:34:51 2020
90,Gujarat,Patan,17,1,Sun Apr 26 22:34:51 2020
91,Gujarat,Porbandar,3,0,Sun Apr 26 22:34:51 2020
92,Gujarat,Rajkot,45,4,Sun Apr 26 22:34:51 2020
93,Gujarat,Sabar Kantha,3,0,Sun Apr 26 22:34:51 2020
94,Gujarat,Surat,526,30,Sun Apr 26 22:34:51 2020
95,Gujarat,Surendranagar,1,0,Sun Apr 26 22:34:51 2020
96,Gujarat,Tapi,1,0,Sun Apr 26 22:34:51 2020
