,state,district,confirmed,delta,date
0,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Thu Apr 23 22:24:13 2020
1,Andaman and Nicobar Islands,South Andaman,20,4,Thu Apr 23 22:24:13 2020
2,Andaman and Nicobar Islands,Unknown,1,0,Thu Apr 23 22:24:13 2020
3,Andhra Pradesh,Anantapur,42,6,Thu Apr 23 22:24:13 2020
4,Andhra Pradesh,Chittoor,73,14,Thu Apr 23 22:24:13 2020
5,Andhra Pradesh,East Godavari,32,6,Thu Apr 23 22:24:13 2020
6,Andhra Pradesh,Guntur,195,18,Thu Apr 23 22:24:13 2020
7,Andhra Pradesh,Krishna,88,2,Thu Apr 23 22:24:13 2020
8,Andhra Pradesh,Kurnool,234,31,Thu Apr 23 22:24:13 2020
9,Andhra Pradesh,Prakasam,50,2,Thu Apr 23 22:24:13 2020
10,Andhra Pradesh,S.P.S. Nellore,67,0,Thu Apr 23 22:24:13 2020
11,Andhra Pradesh,Visakhapatnam,22,1,Thu Apr 23 22:24:13 2020
12,Andhra Pradesh,West Godavari,39,0,Thu Apr 23 22:24:13 2020
13,Andhra Pradesh,Y.S.R.,51,0,Thu Apr 23 22:24:13 2020
14,Arunachal Pradesh,Lohit,1,0,Thu Apr 23 22:24:13 2020
15,Assam,Cachar,2,0,Thu Apr 23 22:24:13 2020
16,Assam,Dhubri,4,0,Thu Apr 23 22:24:13 2020
17,Assam,Goalpara,4,0,Thu Apr 23 22:24:13 2020
18,Assam,Golaghat,1,0,Thu Apr 23 22:24:13 2020
19,Assam,Hailakandi,1,0,Thu Apr 23 22:24:13 2020
20,Assam,Jorhat,8,0,Thu Apr 23 22:24:13 2020
21,Assam,Kamrup,1,0,Thu Apr 23 22:24:13 2020
22,Assam,Kamrup Metropolitan,6,0,Thu Apr 23 22:24:13 2020
23,Assam,Lakhimpur,1,0,Thu Apr 23 22:24:13 2020
24,Assam,Morigaon,3,0,Thu Apr 23 22:24:13 2020
25,Assam,Nalbari,3,0,Thu Apr 23 22:24:13 2020
26,Assam,South Salmara Mancachar,1,0,Thu Apr 23 22:24:13 2020
27,Assam,Unknown,1,1,Thu Apr 23 22:24:13 2020
28,Bihar,Banka,1,0,Thu Apr 23 22:24:13 2020
29,Bihar,Begusarai,9,0,Thu Apr 23 22:24:13 2020
30,Bihar,Bhagalpur,5,0,Thu Apr 23 22:24:13 2020
