,state,district,confirmed,delta,date
0,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Tue May 12 20:45:28 2020
1,Andaman and Nicobar Islands,South Andaman,32,0,Tue May 12 20:45:28 2020
2,Andhra Pradesh,Anantapur,115,0,Tue May 12 20:45:28 2020
3,Andhra Pradesh,Chittoor,131,10,Tue May 12 20:45:28 2020
4,Andhra Pradesh,East Godavari,47,1,Tue May 12 20:45:28 2020
5,Andhra Pradesh,Guntur,387,0,Tue May 12 20:45:28 2020
6,Andhra Pradesh,Krishna,346,4,Tue May 12 20:45:28 2020
7,Andhra Pradesh,Kurnool,584,9,Tue May 12 20:45:28 2020
8,Andhra Pradesh,Other State,27,0,Tue May 12 20:45:28 2020
9,Andhra Pradesh,Prakasam,63,0,Tue May 12 20:45:28 2020
10,Andhra Pradesh,S.P.S. Nellore,111,9,Tue May 12 20:45:28 2020
11,Andhra Pradesh,Srikakulam,5,0,Tue May 12 20:45:28 2020
12,Andhra Pradesh,Visakhapatnam,66,0,Tue May 12 20:45:28 2020
13,Andhra Pradesh,Vizianagaram,4,0,Tue May 12 20:45:28 2020
14,Andhra Pradesh,West Godavari,68,0,Tue May 12 20:45:28 2020
15,Andhra Pradesh,Y.S.R. Kadapa,97,0,Tue May 12 20:45:28 2020
16,Arunachal Pradesh,Lohit,1,0,Tue May 12 20:45:28 2020
17,Assam,Bongaigaon,5,0,Tue May 12 20:45:28 2020
18,Assam,Cachar,11,0,Tue May 12 20:45:28 2020
19,Assam,Dhubri,5,0,Tue May 12 20:45:28 2020
20,Assam,Goalpara,6,0,Tue May 12 20:45:28 2020
21,Assam,Golaghat,9,0,Tue May 12 20:45:28 2020
22,Assam,Hailakandi,1,0,Tue May 12 20:45:28 2020
23,Assam,Jorhat,3,0,Tue May 12 20:45:28 2020
24,Assam,Kamrup,2,0,Tue May 12 20:45:28 2020
25,Assam,Kamrup Metropolitan,6,0,Tue May 12 20:45:28 2020
26,Assam,Karimganj,2,0,Tue May 12 20:45:28 2020
27,Assam,Kokrajhar,1,0,Tue May 12 20:45:28 2020
28,Assam,Lakhimpur,1,0,Tue May 12 20:45:28 2020
29,Assam,Morigaon,7,0,Tue May 12 20:45:28 2020
30,Assam,Nalbari,4,0,Tue May 12 20:45:28 2020
31,Assam,Other State,1,0,Tue May 12 20:45:28 2020
32,Assam,South Salmara Mankachar,1,0,Tue May 12 20:45:28 2020
33,Bihar,Araria,4,0,Tue May 12 20:45:28 2020
34,Bihar,Arwal,12,1,Tue May 12 20:45:28 2020
35,Bihar,Aurangabad,17,2,Tue May 12 20:45:28 2020
36,Bihar,Banka,7,1,Tue May 12 20:45:28 2020
37,Bihar,Begusarai,40,9,Tue May 12 20:45:28 2020
38,Bihar,Bhagalpur,26,1,Tue May 12 20:45:28 2020
39,Bihar,Bhojpur,21,1,Tue May 12 20:45:28 2020
40,Bihar,Buxar,56,0,Tue May 12 20:45:28 2020
41,Bihar,Darbhanga,16,2,Tue May 12 20:45:28 2020
42,Bihar,East Champaran,14,0,Tue May 12 20:45:28 2020
43,Bihar,Gaya,8,0,Tue May 12 20:45:28 2020
44,Bihar,Gopalganj,22,2,Tue May 12 20:45:28 2020
45,Bihar,Jehanabad,5,0,Tue May 12 20:45:28 2020
46,Bihar,Kaimur,32,0,Tue May 12 20:45:28 2020
47,Bihar,Katihar,12,1,Tue May 12 20:45:28 2020
48,Bihar,Khagaria,27,16,Tue May 12 20:45:28 2020
49,Bihar,Kishanganj,9,0,Tue May 12 20:45:28 2020
50,Bihar,Lakhisarai,4,0,Tue May 12 20:45:28 2020
51,Bihar,Madhepura,9,0,Tue May 12 20:45:28 2020
52,Bihar,Madhubani,30,4,Tue May 12 20:45:28 2020
53,Bihar,Munger,115,0,Tue May 12 20:45:28 2020
54,Bihar,Muzaffarpur,12,3,Tue May 12 20:45:28 2020
55,Bihar,Nalanda,51,0,Tue May 12 20:45:28 2020
56,Bihar,Nawada,13,0,Tue May 12 20:45:28 2020
57,Bihar,Patna,79,7,Tue May 12 20:45:28 2020
58,Bihar,Purnia,4,1,Tue May 12 20:45:28 2020
59,Bihar,Rohtas,72,13,Tue May 12 20:45:28 2020
60,Bihar,Saharsa,10,0,Tue May 12 20:45:28 2020
61,Bihar,Samastipur,9,0,Tue May 12 20:45:28 2020
62,Bihar,Saran,9,1,Tue May 12 20:45:28 2020
63,Bihar,Sheikhpura,8,0,Tue May 12 20:45:28 2020
64,Bihar,Sheohar,3,0,Tue May 12 20:45:28 2020
65,Bihar,Sitamarhi,7,0,Tue May 12 20:45:28 2020
66,Bihar,Siwan,34,1,Tue May 12 20:45:28 2020
67,Bihar,Supaul,4,1,Tue May 12 20:45:28 2020
68,Bihar,Vaishali,4,0,Tue May 12 20:45:28 2020
69,Bihar,West Champaran,25,14,Tue May 12 20:45:28 2020
70,Chandigarh,Chandigarh,187,6,Tue May 12 20:45:28 2020
71,Chhattisgarh,Bilaspur,1,0,Tue May 12 20:45:28 2020
72,Chhattisgarh,Durg,10,0,Tue May 12 20:45:28 2020
73,Chhattisgarh,Kabeerdham,6,0,Tue May 12 20:45:28 2020
74,Chhattisgarh,Korba,28,0,Tue May 12 20:45:28 2020
75,Chhattisgarh,Raipur,7,0,Tue May 12 20:45:28 2020
76,Chhattisgarh,Rajnandgaon,1,0,Tue May 12 20:45:28 2020
77,Chhattisgarh,Surajpur,6,0,Tue May 12 20:45:28 2020
78,Delhi,Central Delhi,184,0,Tue May 12 20:45:28 2020
79,Delhi,East Delhi,38,0,Tue May 12 20:45:28 2020
80,Delhi,New Delhi,37,0,Tue May 12 20:45:28 2020
81,Delhi,North Delhi,60,0,Tue May 12 20:45:28 2020
82,Delhi,North East Delhi,25,0,Tue May 12 20:45:28 2020
83,Delhi,North West Delhi,32,0,Tue May 12 20:45:28 2020
84,Delhi,Shahdara,48,0,Tue May 12 20:45:28 2020
85,Delhi,South Delhi,70,0,Tue May 12 20:45:28 2020
86,Delhi,South East Delhi,130,0,Tue May 12 20:45:28 2020
87,Delhi,South West Delhi,42,0,Tue May 12 20:45:28 2020
88,Delhi,West Delhi,122,0,Tue May 12 20:45:28 2020
89,Delhi,Unknown,6851,0,Tue May 12 20:45:28 2020
90,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,1,0,Tue May 12 20:45:28 2020
91,Goa,North Goa,6,0,Tue May 12 20:45:28 2020
92,Goa,South Goa,1,0,Tue May 12 20:45:28 2020
93,Gujarat,Other State,1,0,Tue May 12 20:45:28 2020
94,Gujarat,Ahmedabad,6353,267,Tue May 12 20:45:28 2020
95,Gujarat,Anand,80,0,Tue May 12 20:45:28 2020
96,Gujarat,Aravalli,75,1,Tue May 12 20:45:28 2020
97,Gujarat,Banaskantha,81,0,Tue May 12 20:45:28 2020
98,Gujarat,Bharuch,32,1,Tue May 12 20:45:28 2020
99,Gujarat,Bhavnagar,97,2,Tue May 12 20:45:28 2020
100,Gujarat,Botad,56,0,Tue May 12 20:45:28 2020
101,Gujarat,Chhota Udaipur,17,3,Tue May 12 20:45:28 2020
102,Gujarat,Dahod,20,0,Tue May 12 20:45:28 2020
