,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,1435,-239,Thu Jul 16 19:00:01 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Thu Jul 16 19:00:01 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Thu Jul 16 19:00:01 2020
3,Andaman and Nicobar Islands,South Andaman,51,0,Thu Jul 16 19:00:01 2020
4,Andaman and Nicobar Islands,Unknown,124,0,Thu Jul 16 19:00:01 2020
5,Andhra Pradesh,Foreign Evacuees,432,0,Thu Jul 16 19:00:01 2020
6,Andhra Pradesh,Anantapur,3987,174,Thu Jul 16 19:00:01 2020
7,Andhra Pradesh,Chittoor,3536,205,Thu Jul 16 19:00:01 2020
8,Andhra Pradesh,East Godavari,3862,500,Thu Jul 16 19:00:01 2020
9,Andhra Pradesh,Guntur,3963,139,Thu Jul 16 19:00:01 2020
10,Andhra Pradesh,Krishna,2984,132,Thu Jul 16 19:00:01 2020
11,Andhra Pradesh,Kurnool,4816,590,Thu Jul 16 19:00:01 2020
12,Andhra Pradesh,Other State,2453,9,Thu Jul 16 19:00:01 2020
13,Andhra Pradesh,Prakasam,1395,104,Thu Jul 16 19:00:01 2020
14,Andhra Pradesh,S.P.S. Nellore,1590,126,Thu Jul 16 19:00:01 2020
15,Andhra Pradesh,Srikakulam,1703,111,Thu Jul 16 19:00:01 2020
16,Andhra Pradesh,Visakhapatnam,1693,81,Thu Jul 16 19:00:01 2020
17,Andhra Pradesh,Vizianagaram,982,101,Thu Jul 16 19:00:01 2020
18,Andhra Pradesh,West Godavari,2428,195,Thu Jul 16 19:00:01 2020
19,Andhra Pradesh,Y.S.R. Kadapa,2220,126,Thu Jul 16 19:00:01 2020
20,Arunachal Pradesh,Anjaw,4,0,Thu Jul 16 19:00:01 2020
21,Arunachal Pradesh,Changlang,111,0,Thu Jul 16 19:00:01 2020
22,Arunachal Pradesh,East Kameng,2,0,Thu Jul 16 19:00:01 2020
23,Arunachal Pradesh,East Siang,22,0,Thu Jul 16 19:00:01 2020
24,Arunachal Pradesh,Kamle,0,0,Thu Jul 16 19:00:01 2020
25,Arunachal Pradesh,Kra Daadi,0,0,Thu Jul 16 19:00:01 2020
26,Arunachal Pradesh,Kurung Kumey,0,0,Thu Jul 16 19:00:01 2020
27,Arunachal Pradesh,Lepa Rada,10,0,Thu Jul 16 19:00:01 2020
28,Arunachal Pradesh,Lohit,4,0,Thu Jul 16 19:00:01 2020
29,Arunachal Pradesh,Longding,5,0,Thu Jul 16 19:00:01 2020
30,Arunachal Pradesh,Lower Dibang Valley,5,0,Thu Jul 16 19:00:01 2020
31,Arunachal Pradesh,Lower Siang,5,0,Thu Jul 16 19:00:01 2020
32,Arunachal Pradesh,Lower Subansiri,12,0,Thu Jul 16 19:00:01 2020
33,Arunachal Pradesh,Namsai,38,0,Thu Jul 16 19:00:01 2020
34,Arunachal Pradesh,Pakke Kessang,1,0,Thu Jul 16 19:00:01 2020
35,Arunachal Pradesh,Papum Pare,232,0,Thu Jul 16 19:00:01 2020
36,Arunachal Pradesh,Shi Yomi,0,0,Thu Jul 16 19:00:01 2020
