,state,district,confirmed,delta,date
0,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Sat Apr 25 12:47:04 2020
1,Andaman and Nicobar Islands,South Andaman,27,0,Sat Apr 25 12:47:04 2020
2,Andaman and Nicobar Islands,Unknown,1,0,Sat Apr 25 12:47:04 2020
3,Andhra Pradesh,Anantapur,46,0,Sat Apr 25 12:47:04 2020
4,Andhra Pradesh,Chittoor,73,0,Sat Apr 25 12:47:04 2020
5,Andhra Pradesh,East Godavari,34,0,Sat Apr 25 12:47:04 2020
6,Andhra Pradesh,Guntur,206,0,Sat Apr 25 12:47:04 2020
7,Andhra Pradesh,Krishna,102,0,Sat Apr 25 12:47:04 2020
8,Andhra Pradesh,Kurnool,261,0,Sat Apr 25 12:47:04 2020
9,Andhra Pradesh,Prakasam,53,0,Sat Apr 25 12:47:04 2020
10,Andhra Pradesh,S.P.S. Nellore,68,0,Sat Apr 25 12:47:04 2020
11,Andhra Pradesh,Visakhapatnam,22,0,Sat Apr 25 12:47:04 2020
12,Andhra Pradesh,West Godavari,39,0,Sat Apr 25 12:47:04 2020
13,Andhra Pradesh,Y.S.R.,51,0,Sat Apr 25 12:47:04 2020
14,Arunachal Pradesh,Lohit,1,0,Sat Apr 25 12:47:04 2020
15,Assam,Cachar,2,0,Sat Apr 25 12:47:04 2020
16,Assam,Dhubri,4,0,Sat Apr 25 12:47:04 2020
17,Assam,Goalpara,4,0,Sat Apr 25 12:47:04 2020
18,Assam,Golaghat,1,0,Sat Apr 25 12:47:04 2020
19,Assam,Hailakandi,1,0,Sat Apr 25 12:47:04 2020
20,Assam,Jorhat,8,0,Sat Apr 25 12:47:04 2020
21,Assam,Kamrup,1,0,Sat Apr 25 12:47:04 2020
22,Assam,Kamrup Metropolitan,6,0,Sat Apr 25 12:47:04 2020
23,Assam,Lakhimpur,1,0,Sat Apr 25 12:47:04 2020
24,Assam,Morigaon,3,0,Sat Apr 25 12:47:04 2020
25,Assam,Nalbari,3,0,Sat Apr 25 12:47:04 2020
26,Assam,South Salmara Mancachar,1,0,Sat Apr 25 12:47:04 2020
27,Assam,Unknown,1,0,Sat Apr 25 12:47:04 2020
28,Bihar,Aurangabad,2,0,Sat Apr 25 12:47:04 2020
29,Bihar,Banka,2,0,Sat Apr 25 12:47:04 2020
30,Bihar,Begusarai,9,0,Sat Apr 25 12:47:04 2020
31,Bihar,Bhagalpur,5,0,Sat Apr 25 12:47:04 2020
32,Bihar,Bhojpur,1,0,Sat Apr 25 12:47:04 2020
33,Bihar,Buxar,22,2,Sat Apr 25 12:47:04 2020
34,Bihar,East Champaran,1,0,Sat Apr 25 12:47:04 2020
35,Bihar,Gaya,5,0,Sat Apr 25 12:47:04 2020
36,Bihar,Gopalganj,3,0,Sat Apr 25 12:47:04 2020
37,Bihar,Kaimur Bhabua,8,0,Sat Apr 25 12:47:04 2020
38,Bihar,Lakhisarai,1,0,Sat Apr 25 12:47:04 2020
39,Bihar,Madhepura,1,0,Sat Apr 25 12:47:04 2020
40,Bihar,Munger,62,0,Sat Apr 25 12:47:04 2020
41,Bihar,Nalanda,34,0,Sat Apr 25 12:47:04 2020
42,Bihar,Nawada,3,0,Sat Apr 25 12:47:04 2020
43,Bihar,Patna,26,0,Sat Apr 25 12:47:04 2020
44,Bihar,Rohtas,7,0,Sat Apr 25 12:47:04 2020
45,Bihar,Saran,2,0,Sat Apr 25 12:47:04 2020
