,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,7655,712,Tue Jun 16 11:00:03 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Tue Jun 16 11:00:03 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Tue Jun 16 11:00:03 2020
3,Andaman and Nicobar Islands,South Andaman,32,0,Tue Jun 16 11:00:03 2020
4,Andaman and Nicobar Islands,Unknown,11,0,Tue Jun 16 11:00:03 2020
5,Andhra Pradesh,Foreign Evacuees,208,0,Tue Jun 16 11:00:03 2020
6,Andhra Pradesh,Anantapur,485,0,Tue Jun 16 11:00:03 2020
7,Andhra Pradesh,Chittoor,359,0,Tue Jun 16 11:00:03 2020
8,Andhra Pradesh,East Godavari,387,0,Tue Jun 16 11:00:03 2020
9,Andhra Pradesh,Guntur,642,0,Tue Jun 16 11:00:03 2020
10,Andhra Pradesh,Krishna,757,0,Tue Jun 16 11:00:03 2020
11,Andhra Pradesh,Kurnool,1036,0,Tue Jun 16 11:00:03 2020
12,Andhra Pradesh,Other State,1159,0,Tue Jun 16 11:00:03 2020
13,Andhra Pradesh,Prakasam,103,0,Tue Jun 16 11:00:03 2020
14,Andhra Pradesh,S.P.S. Nellore,412,0,Tue Jun 16 11:00:03 2020
15,Andhra Pradesh,Srikakulam,55,0,Tue Jun 16 11:00:03 2020
16,Andhra Pradesh,Visakhapatnam,220,0,Tue Jun 16 11:00:03 2020
17,Andhra Pradesh,Vizianagaram,73,0,Tue Jun 16 11:00:03 2020
18,Andhra Pradesh,West Godavari,301,0,Tue Jun 16 11:00:03 2020
19,Andhra Pradesh,Y.S.R. Kadapa,257,0,Tue Jun 16 11:00:03 2020
20,Andhra Pradesh,Unknown,2,0,Tue Jun 16 11:00:03 2020
21,Arunachal Pradesh,Anjaw,0,0,Tue Jun 16 11:00:03 2020
22,Arunachal Pradesh,Changlang,57,0,Tue Jun 16 11:00:03 2020
23,Arunachal Pradesh,East Kameng,0,0,Tue Jun 16 11:00:03 2020
24,Arunachal Pradesh,East Siang,9,0,Tue Jun 16 11:00:03 2020
25,Arunachal Pradesh,Kamle,0,0,Tue Jun 16 11:00:03 2020
26,Arunachal Pradesh,Kra Daadi,0,0,Tue Jun 16 11:00:03 2020
27,Arunachal Pradesh,Kurung Kumey,0,0,Tue Jun 16 11:00:03 2020
28,Arunachal Pradesh,Lepa Rada,0,0,Tue Jun 16 11:00:03 2020
29,Arunachal Pradesh,Lohit,3,0,Tue Jun 16 11:00:03 2020
30,Arunachal Pradesh,Longding,1,0,Tue Jun 16 11:00:03 2020
31,Arunachal Pradesh,Lower Dibang Valley,2,0,Tue Jun 16 11:00:03 2020
32,Arunachal Pradesh,Lower Siang,0,0,Tue Jun 16 11:00:03 2020
33,Arunachal Pradesh,Lower Subansiri,0,0,Tue Jun 16 11:00:03 2020
34,Arunachal Pradesh,Namsai,3,0,Tue Jun 16 11:00:03 2020
35,Arunachal Pradesh,Pakke Kessang,1,0,Tue Jun 16 11:00:03 2020
36,Arunachal Pradesh,Papum Pare,10,0,Tue Jun 16 11:00:03 2020
