,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,6975,-281,Tue Jun 30 11:00:05 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Tue Jun 30 11:00:05 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Tue Jun 30 11:00:05 2020
3,Andaman and Nicobar Islands,South Andaman,49,0,Tue Jun 30 11:00:05 2020
4,Andaman and Nicobar Islands,Unknown,47,0,Tue Jun 30 11:00:05 2020
5,Andhra Pradesh,Foreign Evacuees,391,0,Tue Jun 30 11:00:05 2020
6,Andhra Pradesh,Anantapur,1467,0,Tue Jun 30 11:00:05 2020
7,Andhra Pradesh,Chittoor,947,0,Tue Jun 30 11:00:05 2020
8,Andhra Pradesh,East Godavari,1074,0,Tue Jun 30 11:00:05 2020
9,Andhra Pradesh,Guntur,1291,0,Tue Jun 30 11:00:05 2020
10,Andhra Pradesh,Krishna,1383,0,Tue Jun 30 11:00:05 2020
11,Andhra Pradesh,Kurnool,1873,0,Tue Jun 30 11:00:05 2020
12,Andhra Pradesh,Other State,1946,0,Tue Jun 30 11:00:05 2020
13,Andhra Pradesh,Prakasam,339,0,Tue Jun 30 11:00:05 2020
14,Andhra Pradesh,S.P.S. Nellore,603,0,Tue Jun 30 11:00:05 2020
15,Andhra Pradesh,Srikakulam,62,0,Tue Jun 30 11:00:05 2020
16,Andhra Pradesh,Visakhapatnam,516,0,Tue Jun 30 11:00:05 2020
17,Andhra Pradesh,Vizianagaram,146,0,Tue Jun 30 11:00:05 2020
18,Andhra Pradesh,West Godavari,988,0,Tue Jun 30 11:00:05 2020
19,Andhra Pradesh,Y.S.R. Kadapa,865,0,Tue Jun 30 11:00:05 2020
20,Arunachal Pradesh,Anjaw,0,0,Tue Jun 30 11:00:05 2020
21,Arunachal Pradesh,Changlang,81,0,Tue Jun 30 11:00:05 2020
22,Arunachal Pradesh,East Kameng,0,0,Tue Jun 30 11:00:05 2020
23,Arunachal Pradesh,East Siang,10,0,Tue Jun 30 11:00:05 2020
24,Arunachal Pradesh,Kamle,0,0,Tue Jun 30 11:00:05 2020
25,Arunachal Pradesh,Kra Daadi,0,0,Tue Jun 30 11:00:05 2020
26,Arunachal Pradesh,Kurung Kumey,0,0,Tue Jun 30 11:00:05 2020
27,Arunachal Pradesh,Lepa Rada,1,0,Tue Jun 30 11:00:05 2020
28,Arunachal Pradesh,Lohit,4,0,Tue Jun 30 11:00:05 2020
29,Arunachal Pradesh,Longding,4,0,Tue Jun 30 11:00:05 2020
30,Arunachal Pradesh,Lower Dibang Valley,3,0,Tue Jun 30 11:00:05 2020
31,Arunachal Pradesh,Lower Siang,1,0,Tue Jun 30 11:00:05 2020
32,Arunachal Pradesh,Lower Subansiri,0,0,Tue Jun 30 11:00:05 2020
33,Arunachal Pradesh,Namsai,11,0,Tue Jun 30 11:00:05 2020
34,Arunachal Pradesh,Pakke Kessang,1,0,Tue Jun 30 11:00:05 2020
35,Arunachal Pradesh,Papum Pare,48,0,Tue Jun 30 11:00:05 2020
36,Arunachal Pradesh,Shi Yomi,0,0,Tue Jun 30 11:00:05 2020
37,Arunachal Pradesh,Siang,0,0,Tue Jun 30 11:00:05 2020
38,Arunachal Pradesh,Tawang,2,0,Tue Jun 30 11:00:05 2020
39,Arunachal Pradesh,Tirap,3,0,Tue Jun 30 11:00:05 2020
40,Arunachal Pradesh,Upper Dibang Valley,0,0,Tue Jun 30 11:00:05 2020
41,Arunachal Pradesh,Upper Siang,1,0,Tue Jun 30 11:00:05 2020
42,Arunachal Pradesh,Upper Subansiri,0,0,Tue Jun 30 11:00:05 2020
43,Arunachal Pradesh,West Kameng,15,0,Tue Jun 30 11:00:05 2020
44,Arunachal Pradesh,West Siang,2,0,Tue Jun 30 11:00:05 2020
45,Assam,Airport Quarantine,4,0,Tue Jun 30 11:00:05 2020
46,Assam,Baksa,85,0,Tue Jun 30 11:00:05 2020
47,Assam,Barpeta,147,0,Tue Jun 30 11:00:05 2020
48,Assam,Biswanath,58,0,Tue Jun 30 11:00:05 2020
49,Assam,Bongaigaon,24,0,Tue Jun 30 11:00:05 2020
50,Assam,Cachar,98,0,Tue Jun 30 11:00:05 2020
51,Assam,Charaideo,16,0,Tue Jun 30 11:00:05 2020
52,Assam,Chirang,52,0,Tue Jun 30 11:00:05 2020
53,Assam,Darrang,102,0,Tue Jun 30 11:00:05 2020
54,Assam,Dhemaji,95,0,Tue Jun 30 11:00:05 2020
55,Assam,Dhubri,334,0,Tue Jun 30 11:00:05 2020
56,Assam,Dibrugarh,77,0,Tue Jun 30 11:00:05 2020
57,Assam,Dima Hasao,89,0,Tue Jun 30 11:00:05 2020
58,Assam,Goalpara,57,0,Tue Jun 30 11:00:05 2020
59,Assam,Golaghat,272,0,Tue Jun 30 11:00:05 2020
60,Assam,Hailakandi,78,0,Tue Jun 30 11:00:05 2020
61,Assam,Hojai,267,0,Tue Jun 30 11:00:05 2020
62,Assam,Jorhat,139,0,Tue Jun 30 11:00:05 2020
63,Assam,Kamrup,215,0,Tue Jun 30 11:00:05 2020
64,Assam,Kamrup Metropolitan,1284,0,Tue Jun 30 11:00:05 2020
65,Assam,Karbi Anglong,39,0,Tue Jun 30 11:00:05 2020
66,Assam,Karimganj,106,0,Tue Jun 30 11:00:05 2020
67,Assam,Kokrajhar,86,0,Tue Jun 30 11:00:05 2020
68,Assam,Lakhimpur,82,0,Tue Jun 30 11:00:05 2020
69,Assam,Majuli,21,0,Tue Jun 30 11:00:05 2020
70,Assam,Morigaon,49,0,Tue Jun 30 11:00:05 2020
71,Assam,Nagaon,327,0,Tue Jun 30 11:00:05 2020
72,Assam,Nalbari,28,0,Tue Jun 30 11:00:05 2020
73,Assam,Other State,1,0,Tue Jun 30 11:00:05 2020
74,Assam,Sivasagar,29,0,Tue Jun 30 11:00:05 2020
75,Assam,Sonitpur,104,0,Tue Jun 30 11:00:05 2020
76,Assam,South Salmara Mankachar,7,0,Tue Jun 30 11:00:05 2020
77,Assam,Tinsukia,114,0,Tue Jun 30 11:00:05 2020
78,Assam,Udalguri,105,0,Tue Jun 30 11:00:05 2020
79,Assam,West Karbi Anglong,28,0,Tue Jun 30 11:00:05 2020
80,Assam,Unknown,3176,0,Tue Jun 30 11:00:05 2020
81,Bihar,Araria,127,0,Tue Jun 30 11:00:05 2020
82,Bihar,Arwal,105,0,Tue Jun 30 11:00:05 2020
83,Bihar,Aurangabad,219,0,Tue Jun 30 11:00:05 2020
84,Bihar,Banka,229,0,Tue Jun 30 11:00:05 2020
85,Bihar,Begusarai,416,0,Tue Jun 30 11:00:05 2020
86,Bihar,Bhagalpur,486,0,Tue Jun 30 11:00:05 2020
87,Bihar,Bhojpur,220,0,Tue Jun 30 11:00:05 2020
88,Bihar,Buxar,226,0,Tue Jun 30 11:00:05 2020
89,Bihar,Darbhanga,305,0,Tue Jun 30 11:00:05 2020
90,Bihar,East Champaran,210,0,Tue Jun 30 11:00:05 2020
91,Bihar,Gaya,202,0,Tue Jun 30 11:00:05 2020
92,Bihar,Gopalganj,255,0,Tue Jun 30 11:00:05 2020
93,Bihar,Jamui,77,0,Tue Jun 30 11:00:05 2020
94,Bihar,Jehanabad,249,0,Tue Jun 30 11:00:05 2020
95,Bihar,Kaimur,171,0,Tue Jun 30 11:00:05 2020
96,Bihar,Katihar,314,0,Tue Jun 30 11:00:05 2020
97,Bihar,Khagaria,299,0,Tue Jun 30 11:00:05 2020
98,Bihar,Kishanganj,159,0,Tue Jun 30 11:00:05 2020
99,Bihar,Lakhisarai,127,0,Tue Jun 30 11:00:05 2020
100,Bihar,Madhepura,193,0,Tue Jun 30 11:00:05 2020
101,Bihar,Madhubani,448,0,Tue Jun 30 11:00:05 2020
102,Bihar,Munger,346,0,Tue Jun 30 11:00:05 2020
103,Bihar,Muzaffarpur,308,0,Tue Jun 30 11:00:05 2020
104,Bihar,Nalanda,225,0,Tue Jun 30 11:00:05 2020
105,Bihar,Nawada,286,0,Tue Jun 30 11:00:05 2020
106,Bihar,Patna,696,0,Tue Jun 30 11:00:05 2020
107,Bihar,Purnia,295,0,Tue Jun 30 11:00:05 2020
108,Bihar,Rohtas,334,0,Tue Jun 30 11:00:05 2020
109,Bihar,Saharsa,175,0,Tue Jun 30 11:00:05 2020
110,Bihar,Samastipur,341,0,Tue Jun 30 11:00:05 2020
111,Bihar,Saran,211,0,Tue Jun 30 11:00:05 2020
112,Bihar,Sheikhpura,148,0,Tue Jun 30 11:00:05 2020
113,Bihar,Sheohar,91,0,Tue Jun 30 11:00:05 2020
114,Bihar,Sitamarhi,133,0,Tue Jun 30 11:00:05 2020
115,Bihar,Siwan,410,0,Tue Jun 30 11:00:05 2020
116,Bihar,Supaul,236,0,Tue Jun 30 11:00:05 2020
117,Bihar,Vaishali,160,0,Tue Jun 30 11:00:05 2020
118,Bihar,West Champaran,186,0,Tue Jun 30 11:00:05 2020
119,Chandigarh,Chandigarh,434,0,Tue Jun 30 11:00:05 2020
120,Chhattisgarh,Other State,1,0,Tue Jun 30 11:00:05 2020
121,Chhattisgarh,Balod,46,0,Tue Jun 30 11:00:05 2020
122,Chhattisgarh,Baloda Bazar,245,0,Tue Jun 30 11:00:05 2020
123,Chhattisgarh,Balrampur,129,0,Tue Jun 30 11:00:05 2020
124,Chhattisgarh,Bametara,48,0,Tue Jun 30 11:00:05 2020
125,Chhattisgarh,Bastar,7,0,Tue Jun 30 11:00:05 2020
126,Chhattisgarh,Bijapur,1,0,Tue Jun 30 11:00:05 2020
127,Chhattisgarh,Bilaspur,182,0,Tue Jun 30 11:00:05 2020
128,Chhattisgarh,Dakshin Bastar Dantewada,6,0,Tue Jun 30 11:00:05 2020
129,Chhattisgarh,Dhamtari,8,0,Tue Jun 30 11:00:05 2020
130,Chhattisgarh,Durg,168,0,Tue Jun 30 11:00:05 2020
131,Chhattisgarh,Gariaband,41,0,Tue Jun 30 11:00:05 2020
132,Chhattisgarh,Janjgir Champa,234,0,Tue Jun 30 11:00:05 2020
133,Chhattisgarh,Jashpur,189,0,Tue Jun 30 11:00:05 2020
134,Chhattisgarh,Kabeerdham,105,0,Tue Jun 30 11:00:05 2020
135,Chhattisgarh,Kondagaon,3,0,Tue Jun 30 11:00:05 2020
136,Chhattisgarh,Korba,307,0,Tue Jun 30 11:00:05 2020
137,Chhattisgarh,Koriya,55,0,Tue Jun 30 11:00:05 2020
138,Chhattisgarh,Mahasamund,88,0,Tue Jun 30 11:00:05 2020
139,Chhattisgarh,Mungeli,121,0,Tue Jun 30 11:00:05 2020
140,Chhattisgarh,Narayanpur,11,0,Tue Jun 30 11:00:05 2020
141,Chhattisgarh,Raigarh,121,0,Tue Jun 30 11:00:05 2020
142,Chhattisgarh,Raipur,275,0,Tue Jun 30 11:00:05 2020
143,Chhattisgarh,Rajnandgaon,273,0,Tue Jun 30 11:00:05 2020
144,Chhattisgarh,Sukma,5,0,Tue Jun 30 11:00:05 2020
145,Chhattisgarh,Surajpur,24,0,Tue Jun 30 11:00:05 2020
146,Chhattisgarh,Surguja,50,0,Tue Jun 30 11:00:05 2020
147,Chhattisgarh,Uttar Bastar Kanker,49,0,Tue Jun 30 11:00:05 2020
148,Chhattisgarh,Gaurela Pendra Marwahi,3,0,Tue Jun 30 11:00:05 2020
149,Delhi,Central Delhi,184,0,Tue Jun 30 11:00:05 2020
150,Delhi,East Delhi,38,0,Tue Jun 30 11:00:05 2020
151,Delhi,New Delhi,37,0,Tue Jun 30 11:00:05 2020
152,Delhi,North Delhi,60,0,Tue Jun 30 11:00:05 2020
153,Delhi,North East Delhi,25,0,Tue Jun 30 11:00:05 2020
154,Delhi,North West Delhi,32,0,Tue Jun 30 11:00:05 2020
155,Delhi,Shahdara,48,0,Tue Jun 30 11:00:05 2020
156,Delhi,South Delhi,70,0,Tue Jun 30 11:00:05 2020
157,Delhi,South East Delhi,130,0,Tue Jun 30 11:00:05 2020
158,Delhi,South West Delhi,42,0,Tue Jun 30 11:00:05 2020
159,Delhi,West Delhi,122,0,Tue Jun 30 11:00:05 2020
160,Delhi,Unknown,84373,0,Tue Jun 30 11:00:05 2020
161,Dadra and Nagar Haveli and Daman and Diu,Other State,0,0,Tue Jun 30 11:00:05 2020
162,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,101,0,Tue Jun 30 11:00:05 2020
163,Dadra and Nagar Haveli and Daman and Diu,Daman,89,0,Tue Jun 30 11:00:05 2020
164,Dadra and Nagar Haveli and Daman and Diu,Diu,13,0,Tue Jun 30 11:00:05 2020
165,Goa,Other State,4,0,Tue Jun 30 11:00:05 2020
166,Goa,North Goa,75,0,Tue Jun 30 11:00:05 2020
167,Goa,South Goa,806,0,Tue Jun 30 11:00:05 2020
168,Goa,Unknown,366,0,Tue Jun 30 11:00:05 2020
169,Gujarat,Other State,85,0,Tue Jun 30 11:00:05 2020
170,Gujarat,Ahmedabad,20716,0,Tue Jun 30 11:00:05 2020
171,Gujarat,Amreli,82,0,Tue Jun 30 11:00:05 2020
172,Gujarat,Anand,207,0,Tue Jun 30 11:00:05 2020
173,Gujarat,Aravalli,204,0,Tue Jun 30 11:00:05 2020
174,Gujarat,Banaskantha,177,0,Tue Jun 30 11:00:05 2020
175,Gujarat,Bharuch,220,0,Tue Jun 30 11:00:05 2020
176,Gujarat,Bhavnagar,253,0,Tue Jun 30 11:00:05 2020
177,Gujarat,Botad,86,0,Tue Jun 30 11:00:05 2020
178,Gujarat,Chhota Udaipur,55,0,Tue Jun 30 11:00:05 2020
179,Gujarat,Dahod,59,0,Tue Jun 30 11:00:05 2020
180,Gujarat,Dang,4,0,Tue Jun 30 11:00:05 2020
181,Gujarat,Devbhumi Dwarka,22,0,Tue Jun 30 11:00:05 2020
182,Gujarat,Gandhinagar,638,0,Tue Jun 30 11:00:05 2020
183,Gujarat,Gir Somnath,73,0,Tue Jun 30 11:00:05 2020
184,Gujarat,Jamnagar,198,0,Tue Jun 30 11:00:05 2020
185,Gujarat,Junagadh,93,0,Tue Jun 30 11:00:05 2020
186,Gujarat,Kheda,152,0,Tue Jun 30 11:00:05 2020
187,Gujarat,Kutch,153,0,Tue Jun 30 11:00:05 2020
188,Gujarat,Mahisagar,135,0,Tue Jun 30 11:00:05 2020
189,Gujarat,Mehsana,269,0,Tue Jun 30 11:00:05 2020
190,Gujarat,Morbi,20,0,Tue Jun 30 11:00:05 2020
191,Gujarat,Narmada,89,0,Tue Jun 30 11:00:05 2020
192,Gujarat,Navsari,95,0,Tue Jun 30 11:00:05 2020
193,Gujarat,Panchmahal,173,0,Tue Jun 30 11:00:05 2020
194,Gujarat,Patan,195,0,Tue Jun 30 11:00:05 2020
195,Gujarat,Porbandar,16,0,Tue Jun 30 11:00:05 2020
196,Gujarat,Rajkot,263,0,Tue Jun 30 11:00:05 2020
197,Gujarat,Sabarkantha,170,0,Tue Jun 30 11:00:05 2020
198,Gujarat,Surat,4630,0,Tue Jun 30 11:00:05 2020
199,Gujarat,Surendranagar,138,0,Tue Jun 30 11:00:05 2020
200,Gujarat,Tapi,8,0,Tue Jun 30 11:00:05 2020
201,Gujarat,Vadodara,2215,0,Tue Jun 30 11:00:05 2020
202,Gujarat,Valsad,130,0,Tue Jun 30 11:00:05 2020
203,Himachal Pradesh,Bilaspur,44,0,Tue Jun 30 11:00:05 2020
204,Himachal Pradesh,Chamba,52,0,Tue Jun 30 11:00:05 2020
205,Himachal Pradesh,Hamirpur,243,0,Tue Jun 30 11:00:05 2020
206,Himachal Pradesh,Kangra,268,0,Tue Jun 30 11:00:05 2020
207,Himachal Pradesh,Kinnaur,8,0,Tue Jun 30 11:00:05 2020
208,Himachal Pradesh,Kullu,5,0,Tue Jun 30 11:00:05 2020
209,Himachal Pradesh,Lahaul and Spiti,2,0,Tue Jun 30 11:00:05 2020
210,Himachal Pradesh,Mandi,30,0,Tue Jun 30 11:00:05 2020
211,Himachal Pradesh,Shimla,40,0,Tue Jun 30 11:00:05 2020
212,Himachal Pradesh,Sirmaur,38,0,Tue Jun 30 11:00:05 2020
213,Himachal Pradesh,Solan,108,0,Tue Jun 30 11:00:05 2020
214,Himachal Pradesh,Una,104,0,Tue Jun 30 11:00:05 2020
215,Haryana,Foreign Evacuees,21,0,Tue Jun 30 11:00:05 2020
216,Haryana,Ambala,319,0,Tue Jun 30 11:00:05 2020
217,Haryana,Bhiwani,415,0,Tue Jun 30 11:00:05 2020
218,Haryana,Charkhi Dadri,78,0,Tue Jun 30 11:00:05 2020
219,Haryana,Faridabad,3590,0,Tue Jun 30 11:00:05 2020
220,Haryana,Fatehabad,115,0,Tue Jun 30 11:00:05 2020
221,Haryana,Gurugram,5260,0,Tue Jun 30 11:00:05 2020
222,Haryana,Hisar,228,0,Tue Jun 30 11:00:05 2020
223,Haryana,Italians,14,0,Tue Jun 30 11:00:05 2020
224,Haryana,Jhajjar,253,0,Tue Jun 30 11:00:05 2020
225,Haryana,Jind,103,0,Tue Jun 30 11:00:05 2020
226,Haryana,Kaithal,94,0,Tue Jun 30 11:00:05 2020
227,Haryana,Karnal,291,0,Tue Jun 30 11:00:05 2020
228,Haryana,Kurukshetra,117,0,Tue Jun 30 11:00:05 2020
229,Haryana,Mahendragarh,259,0,Tue Jun 30 11:00:05 2020
230,Haryana,Nuh,191,0,Tue Jun 30 11:00:05 2020
231,Haryana,Palwal,311,0,Tue Jun 30 11:00:05 2020
232,Haryana,Panchkula,111,0,Tue Jun 30 11:00:05 2020
233,Haryana,Panipat,189,0,Tue Jun 30 11:00:05 2020
234,Haryana,Rewari,293,0,Tue Jun 30 11:00:05 2020
235,Haryana,Rohtak,545,0,Tue Jun 30 11:00:05 2020
236,Haryana,Sirsa,105,0,Tue Jun 30 11:00:05 2020
237,Haryana,Sonipat,1208,0,Tue Jun 30 11:00:05 2020
238,Haryana,Yamunanagar,100,0,Tue Jun 30 11:00:05 2020
239,Jharkhand,Bokaro,45,0,Tue Jun 30 11:00:05 2020
240,Jharkhand,Chatra,47,0,Tue Jun 30 11:00:05 2020
241,Jharkhand,Deoghar,42,0,Tue Jun 30 11:00:05 2020
242,Jharkhand,Dhanbad,153,0,Tue Jun 30 11:00:05 2020
243,Jharkhand,Dumka,7,0,Tue Jun 30 11:00:05 2020
244,Jharkhand,East Singhbhum,381,0,Tue Jun 30 11:00:05 2020
245,Jharkhand,Garhwa,103,0,Tue Jun 30 11:00:05 2020
246,Jharkhand,Giridih,91,0,Tue Jun 30 11:00:05 2020
247,Jharkhand,Godda,9,0,Tue Jun 30 11:00:05 2020
248,Jharkhand,Gumla,117,0,Tue Jun 30 11:00:05 2020
249,Jharkhand,Hazaribagh,192,0,Tue Jun 30 11:00:05 2020
250,Jharkhand,Jamtara,28,0,Tue Jun 30 11:00:05 2020
251,Jharkhand,Khunti,28,0,Tue Jun 30 11:00:05 2020
252,Jharkhand,Koderma,176,0,Tue Jun 30 11:00:05 2020
253,Jharkhand,Latehar,54,0,Tue Jun 30 11:00:05 2020
254,Jharkhand,Lohardaga,57,0,Tue Jun 30 11:00:05 2020
255,Jharkhand,Pakur,31,0,Tue Jun 30 11:00:05 2020
256,Jharkhand,Palamu,51,0,Tue Jun 30 11:00:05 2020
257,Jharkhand,Ramgarh,120,0,Tue Jun 30 11:00:05 2020
258,Jharkhand,Ranchi,221,0,Tue Jun 30 11:00:05 2020
259,Jharkhand,Sahibganj,9,0,Tue Jun 30 11:00:05 2020
260,Jharkhand,Saraikela-Kharsawan,53,0,Tue Jun 30 11:00:05 2020
261,Jharkhand,Simdega,353,0,Tue Jun 30 11:00:05 2020
262,Jharkhand,West Singhbhum,58,0,Tue Jun 30 11:00:05 2020
263,Jammu and Kashmir,Anantnag,650,0,Tue Jun 30 11:00:05 2020
264,Jammu and Kashmir,Bandipora,291,0,Tue Jun 30 11:00:05 2020
265,Jammu and Kashmir,Baramulla,816,0,Tue Jun 30 11:00:05 2020
266,Jammu and Kashmir,Budgam,397,0,Tue Jun 30 11:00:05 2020
267,Jammu and Kashmir,Doda,77,0,Tue Jun 30 11:00:05 2020
268,Jammu and Kashmir,Ganderbal,91,0,Tue Jun 30 11:00:05 2020
269,Jammu and Kashmir,Jammu,336,0,Tue Jun 30 11:00:05 2020
270,Jammu and Kashmir,Kathua,227,0,Tue Jun 30 11:00:05 2020
271,Jammu and Kashmir,Kishtwar,27,0,Tue Jun 30 11:00:05 2020
272,Jammu and Kashmir,Kulgam,767,0,Tue Jun 30 11:00:05 2020
