,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,4332,319,Thu May 28 17:00:02 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Thu May 28 17:00:02 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Thu May 28 17:00:02 2020
3,Andaman and Nicobar Islands,South Andaman,32,0,Thu May 28 17:00:02 2020
4,Andhra Pradesh,Foreign Evacuees,111,0,Thu May 28 17:00:02 2020
5,Andhra Pradesh,Anantapur,209,3,Thu May 28 17:00:02 2020
6,Andhra Pradesh,Chittoor,238,4,Thu May 28 17:00:02 2020
7,Andhra Pradesh,East Godavari,154,7,Thu May 28 17:00:02 2020
8,Andhra Pradesh,Guntur,465,13,Thu May 28 17:00:02 2020
9,Andhra Pradesh,Krishna,445,0,Thu May 28 17:00:02 2020
10,Andhra Pradesh,Kurnool,688,15,Thu May 28 17:00:02 2020
11,Andhra Pradesh,Other State,293,74,Thu May 28 17:00:02 2020
12,Andhra Pradesh,Prakasam,75,3,Thu May 28 17:00:02 2020
13,Andhra Pradesh,S.P.S. Nellore,233,2,Thu May 28 17:00:02 2020
14,Andhra Pradesh,Srikakulam,21,0,Thu May 28 17:00:02 2020
15,Andhra Pradesh,Visakhapatnam,99,6,Thu May 28 17:00:02 2020
16,Andhra Pradesh,Vizianagaram,22,0,Thu May 28 17:00:02 2020
17,Andhra Pradesh,West Godavari,83,0,Thu May 28 17:00:02 2020
18,Andhra Pradesh,Y.S.R. Kadapa,109,1,Thu May 28 17:00:02 2020
19,Andhra Pradesh,Unknown,0,0,Thu May 28 17:00:02 2020
20,Arunachal Pradesh,Anjaw,0,0,Thu May 28 17:00:02 2020
21,Arunachal Pradesh,Changlang,0,0,Thu May 28 17:00:02 2020
22,Arunachal Pradesh,East Kameng,0,0,Thu May 28 17:00:02 2020
23,Arunachal Pradesh,East Siang,0,0,Thu May 28 17:00:02 2020
24,Arunachal Pradesh,Kamle,0,0,Thu May 28 17:00:02 2020
25,Arunachal Pradesh,Kra Daadi,0,0,Thu May 28 17:00:02 2020
26,Arunachal Pradesh,Kurung Kumey,0,0,Thu May 28 17:00:02 2020
27,Arunachal Pradesh,Lepa Rada,0,0,Thu May 28 17:00:02 2020
28,Arunachal Pradesh,Lohit,1,0,Thu May 28 17:00:02 2020
29,Arunachal Pradesh,Longding,0,0,Thu May 28 17:00:02 2020
30,Arunachal Pradesh,Lower Dibang Valley,0,0,Thu May 28 17:00:02 2020
31,Arunachal Pradesh,Lower Siang,0,0,Thu May 28 17:00:02 2020
32,Arunachal Pradesh,Lower Subansiri,0,0,Thu May 28 17:00:02 2020
33,Arunachal Pradesh,Namsai,0,0,Thu May 28 17:00:02 2020
34,Arunachal Pradesh,Pakke Kessang,0,0,Thu May 28 17:00:02 2020
35,Arunachal Pradesh,Papum Pare,0,0,Thu May 28 17:00:02 2020
36,Arunachal Pradesh,Shi Yomi,0,0,Thu May 28 17:00:02 2020
37,Arunachal Pradesh,Siang,0,0,Thu May 28 17:00:02 2020
38,Arunachal Pradesh,Tawang,0,0,Thu May 28 17:00:02 2020
39,Arunachal Pradesh,Tirap,0,0,Thu May 28 17:00:02 2020
40,Arunachal Pradesh,Upper Dibang Valley,0,0,Thu May 28 17:00:02 2020
41,Arunachal Pradesh,Upper Siang,0,0,Thu May 28 17:00:02 2020
42,Arunachal Pradesh,Upper Subansiri,0,0,Thu May 28 17:00:02 2020
43,Arunachal Pradesh,West Kameng,0,0,Thu May 28 17:00:02 2020
44,Arunachal Pradesh,West Siang,0,0,Thu May 28 17:00:02 2020
45,Arunachal Pradesh,Unknown,1,0,Thu May 28 17:00:02 2020
46,Assam,Baksa,0,0,Thu May 28 17:00:02 2020
47,Assam,Barpeta,13,0,Thu May 28 17:00:02 2020
48,Assam,Biswanath,2,0,Thu May 28 17:00:02 2020
49,Assam,Bongaigaon,5,0,Thu May 28 17:00:02 2020
50,Assam,Cachar,41,7,Thu May 28 17:00:02 2020
51,Assam,Charaideo,9,0,Thu May 28 17:00:02 2020
52,Assam,Chirang,6,0,Thu May 28 17:00:02 2020
53,Assam,Darrang,8,0,Thu May 28 17:00:02 2020
54,Assam,Dhemaji,5,0,Thu May 28 17:00:02 2020
55,Assam,Dhubri,9,0,Thu May 28 17:00:02 2020
56,Assam,Dibrugarh,4,3,Thu May 28 17:00:02 2020
57,Assam,Dima Hasao,8,1,Thu May 28 17:00:02 2020
58,Assam,Goalpara,16,0,Thu May 28 17:00:02 2020
59,Assam,Golaghat,143,0,Thu May 28 17:00:02 2020
60,Assam,Hailakandi,12,2,Thu May 28 17:00:02 2020
61,Assam,Hojai,47,1,Thu May 28 17:00:02 2020
62,Assam,Jorhat,12,0,Thu May 28 17:00:02 2020
63,Assam,Kamrup,22,0,Thu May 28 17:00:02 2020
64,Assam,Kamrup Metropolitan,266,19,Thu May 28 17:00:02 2020
65,Assam,Karbi Anglong,4,0,Thu May 28 17:00:02 2020
66,Assam,Karimganj,33,0,Thu May 28 17:00:02 2020
67,Assam,Kokrajhar,13,0,Thu May 28 17:00:02 2020
68,Assam,Lakhimpur,28,1,Thu May 28 17:00:02 2020
69,Assam,Majuli,0,0,Thu May 28 17:00:02 2020
70,Assam,Morigaon,26,0,Thu May 28 17:00:02 2020
71,Assam,Nagaon,33,10,Thu May 28 17:00:02 2020
72,Assam,Nalbari,17,0,Thu May 28 17:00:02 2020
73,Assam,Other State,1,0,Thu May 28 17:00:02 2020
74,Assam,Sivasagar,13,0,Thu May 28 17:00:02 2020
75,Assam,Sonitpur,14,0,Thu May 28 17:00:02 2020
76,Assam,South Salmara Mankachar,4,0,Thu May 28 17:00:02 2020
77,Assam,Tinsukia,6,0,Thu May 28 17:00:02 2020
78,Assam,Udalguri,3,0,Thu May 28 17:00:02 2020
79,Assam,West Karbi Anglong,5,0,Thu May 28 17:00:02 2020
80,Assam,Unknown,4,0,Thu May 28 17:00:02 2020
81,Bihar,Araria,29,0,Thu May 28 17:00:02 2020
82,Bihar,Arwal,40,0,Thu May 28 17:00:02 2020
83,Bihar,Aurangabad,63,1,Thu May 28 17:00:02 2020
84,Bihar,Banka,105,0,Thu May 28 17:00:02 2020
85,Bihar,Begusarai,161,1,Thu May 28 17:00:02 2020
86,Bihar,Bhagalpur,100,5,Thu May 28 17:00:02 2020
87,Bihar,Bhojpur,47,0,Thu May 28 17:00:02 2020
88,Bihar,Buxar,114,0,Thu May 28 17:00:02 2020
89,Bihar,Darbhanga,69,0,Thu May 28 17:00:02 2020
90,Bihar,East Champaran,83,0,Thu May 28 17:00:02 2020
91,Bihar,Gaya,65,12,Thu May 28 17:00:02 2020
92,Bihar,Gopalganj,101,2,Thu May 28 17:00:02 2020
93,Bihar,Jamui,29,0,Thu May 28 17:00:02 2020
94,Bihar,Jehanabad,112,0,Thu May 28 17:00:02 2020
95,Bihar,Kaimur,53,0,Thu May 28 17:00:02 2020
96,Bihar,Katihar,134,0,Thu May 28 17:00:02 2020
97,Bihar,Khagaria,148,5,Thu May 28 17:00:02 2020
98,Bihar,Kishanganj,32,0,Thu May 28 17:00:02 2020
99,Bihar,Lakhisarai,32,0,Thu May 28 17:00:02 2020
100,Bihar,Madhepura,52,0,Thu May 28 17:00:02 2020
101,Bihar,Madhubani,176,0,Thu May 28 17:00:02 2020
102,Bihar,Munger,148,0,Thu May 28 17:00:02 2020
103,Bihar,Muzaffarpur,40,0,Thu May 28 17:00:02 2020
104,Bihar,Nalanda,91,0,Thu May 28 17:00:02 2020
105,Bihar,Nawada,81,10,Thu May 28 17:00:02 2020
106,Bihar,Patna,220,2,Thu May 28 17:00:02 2020
107,Bihar,Purnia,55,8,Thu May 28 17:00:02 2020
108,Bihar,Rohtas,201,0,Thu May 28 17:00:02 2020
109,Bihar,Saharsa,57,0,Thu May 28 17:00:02 2020
110,Bihar,Samastipur,62,0,Thu May 28 17:00:02 2020
